Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,w,L
P0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5761505090528847,119.83930588300001
P1,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.03002671095192,4166.245555877999
P2,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,48.253372368918264,10036.701452734998
P3,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0.5730867958990384,119.20205354699999
P4,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0.5645794249423076,117.43252038799999
P5,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,85.02523183821154,17685.248222348
P6,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,85.24575917767308,17731.117908956
P7,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0.5542987814423077,115.29414654
P8,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0.5781689400817307,120.259139537
P9,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,48.17384127239904,10020.158984659
P10,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,20.235163374596155,4208.913981916
P11,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0.5581906781682693,116.10366105900002
P12,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0.5645116017403846,117.41841316200001
P13,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,11.223012300629808,2334.386558531
P14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,11.212732413658653,2332.248342041
P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0.5606246452932692,116.609926221
