Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P2,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P5,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
P15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,208,13,195,4341.07376
