Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,7,200,2155.77655
P1,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,6,201,2155.77655
P2,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,6,201,2155.77655
P3,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,7,200,2155.77655
P4,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,7,200,2155.77655
P5,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,6,201,2155.77655
P6,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,7,200,2155.77655
P7,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,7,200,2155.77655
P8,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,6,201,2155.77655
P9,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,6,201,2155.77655
P10,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,7,200,2155.77655
P11,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,6,201,2155.77655
P12,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,7,200,2155.77655
P13,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,6,201,2155.77655
P14,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,6,201,2155.77655
P15,7,6,6,7,7,6,7,7,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,207,7,200,2155.77655
P16,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,7,202,2156.07129
P17,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,7,202,2156.07129
P18,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,7,202,2156.07129
P19,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,7,202,2156.07129
P20,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,7,202,2156.07129
P21,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,7,202,2156.07129
P22,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,7,202,2156.07129
P23,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,7,202,2156.07129
P24,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,6,203,2156.07129
P25,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,6,203,2156.07129
P26,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,6,203,2156.07129
P27,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,6,203,2156.07129
P28,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,7,202,2156.07129
P29,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,6,203,2156.07129
P30,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,6,203,2156.07129
P31,6,7,7,6,6,7,6,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,209,6,203,2156.07129
