Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,6,203,2155.91285
P1,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,6,203,2155.91285
P2,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,6,203,2155.91285
P3,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,7,202,2155.91285
P4,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,7,202,2155.91285
P5,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,6,203,2155.91285
P6,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,7,202,2155.91285
P7,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,7,202,2155.91285
P8,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,7,202,2155.91285
P9,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,6,203,2155.91285
P10,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,6,203,2155.91285
P11,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,7,202,2155.91285
P12,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,6,203,2155.91285
P13,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,7,202,2155.91285
P14,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,7,202,2155.91285
P15,6,6,6,7,7,6,7,7,7,6,6,7,6,7,7,7,7,6,8,6,6,6,6,6,7,7,6,6,7,7,7,6,209,7,202,2155.91285
P16,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,6,201,2155.93499
P17,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,7,200,2155.93499
P18,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,5,202,2155.93499
P19,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,7,200,2155.93499
P20,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,7,200,2155.93499
P21,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,7,200,2155.93499
P22,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,7,200,2155.93499
P23,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,7,200,2155.93499
P24,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,6,201,2155.93499
P25,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,6,201,2155.93499
P26,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,7,200,2155.93499
P27,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,7,200,2155.93499
P28,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,6,201,2155.93499
P29,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,6,201,2155.93499
P30,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,6,201,2155.93499
P31,7,7,7,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,5,7,7,7,7,7,6,6,7,7,6,6,6,7,207,7,200,2155.93499
