Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,192,0,63,0,0,14,0,0,0,0,0,0,0,0,0,0,269,192,77,4340.9366
P1,16,208,0,51,49,0,0,0,40,1,0,0,27,1,1,0,394,208,186,4341.33394
P2,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,4342.80351
P3,0,0,0,157,0,50,0,0,0,0,0,0,0,0,0,0,207,157,50,4341.23622
P4,0,0,0,0,159,50,0,0,0,0,0,0,0,0,0,0,209,159,50,4341.02972
P5,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,51,51,0,4336.28682
P6,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,51,51,0,4347.53372
P7,0,0,0,0,0,0,50,208,0,0,0,0,0,0,0,0,258,208,50,4377.58211
P8,0,0,55,0,0,0,0,0,168,33,0,0,0,0,0,0,256,168,88,4340.80462
P9,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,90,90,0,4335.64571
P10,0,0,0,0,0,0,0,0,0,0,208,67,25,0,0,67,367,208,159,4297.9874
P11,0,0,0,0,0,0,50,0,0,0,0,141,0,0,0,0,191,141,50,4340.99284
P12,0,0,0,0,0,43,7,0,0,0,0,0,156,0,0,0,206,156,50,4340.86909
P13,0,0,0,0,0,0,0,0,0,42,0,0,0,207,0,0,249,207,42,4346.46488
P14,0,0,0,0,0,0,0,0,0,42,0,0,0,0,207,0,249,207,42,4344.33694
P15,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,141,191,141,50,4341.33603
