Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,208,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,249,208,41,2148.18109
P1,0,208,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,208,39,2163.73226
P2,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,211,167,44,2163.78672
P3,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,0,2157.70686
P4,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,2157.17256
P5,0,0,0,15,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,312,208,104,2154.16123
P6,0,0,0,0,44,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,152,44,2155.83051
P7,0,0,0,0,0,0,0,208,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,208,39,2163.89443
P8,0,0,0,0,0,0,0,0,208,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,208,39,2132.55752
P9,0,0,0,0,0,0,0,0,0,208,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,208,39,2163.12079
P10,0,0,8,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,72,8,2155.90099
P11,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,2176.28602
P12,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,1,2155.98031
P13,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,2160.83291
P14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,185,141,44,2156.00898
P15,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,208,39,2163.47576
P16,0,0,0,0,0,0,0,0,0,0,4,0,0,66,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,181,70,2156.04914
P17,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,153,44,2156.00206
P18,0,0,0,85,0,0,56,0,0,0,0,0,0,0,66,0,27,55,208,0,0,0,28,0,13,0,8,11,14,0,55,59,685,208,477,2155.96719
P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,2161.16272
P20,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,136,107,29,2156.06115
P21,0,0,0,0,0,0,0,0,0,0,0,27,12,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,247,208,39,2142.01485
P22,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,250,180,70,2156.02806
P23,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,247,208,39,2132.41414
P24,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,12,0,0,0,195,0,0,0,0,0,0,0,269,195,74,2156.04572
P25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,208,0,0,0,0,0,0,252,208,44,2176.09596
P26,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,270,200,70,2155.87807
P27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,201,197,4,2155.80123
P28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,194,194,0,2157.36292
P29,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,247,208,39,2132.41035
P30,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,197,153,44,2155.85607
P31,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,149,193,149,44,2155.78687
