Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,7,6,7,6,6,6,6,7,6,6,7,6,7,6,5,7,101,7,94,3456.62752
P1,7,6,7,6,6,6,6,7,6,6,7,6,7,6,5,7,101,6,95,3456.62752
P2,7,6,7,6,6,6,6,7,6,6,7,6,7,6,5,7,101,7,94,3456.62752
P3,7,6,7,6,6,6,6,7,6,6,7,6,7,6,5,7,101,6,95,3456.62752
P4,6,7,5,6,6,7,6,6,6,7,6,6,6,6,7,6,99,6,93,3455.79875
P5,6,7,5,6,6,7,6,6,6,7,6,6,6,6,7,6,99,7,92,3455.79875
P6,6,7,5,6,6,7,6,6,6,7,6,6,6,6,7,6,99,6,93,3455.79875
P7,6,7,5,6,6,7,6,6,6,7,6,6,6,6,7,6,99,6,93,3455.79875
P8,6,6,6,6,7,6,6,6,7,6,6,6,5,7,7,6,99,7,92,3455.71585
P9,6,6,6,6,7,6,6,6,7,6,6,6,5,7,7,6,99,6,93,3455.71585
P10,6,6,6,6,7,6,6,6,7,6,6,6,5,7,7,6,99,6,93,3455.71585
P11,6,6,6,6,7,6,6,6,7,6,6,6,5,7,7,6,99,6,93,3455.71585
P12,6,6,7,7,6,6,7,6,6,6,6,7,7,6,6,6,101,7,94,3456.91672
P13,6,6,7,7,6,6,7,6,6,6,6,7,7,6,6,6,101,6,95,3456.91672
P14,6,6,7,7,6,6,7,6,6,6,6,7,7,6,6,6,101,6,95,3456.91672
P15,6,6,7,7,6,6,7,6,6,6,6,7,7,6,6,6,101,6,95,3456.91672
