Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,4,3,4,3,2,3,100,4,96,3185.8213
P1,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,4,3,4,3,2,3,100,3,97,3185.8213
P2,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,4,3,4,3,2,3,100,3,97,3185.8213
P3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,4,3,4,3,2,3,100,3,97,3185.8213
P4,3,3,3,4,3,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,2,3,4,3,2,4,3,2,4,4,99,3,96,3185.99408
P5,3,3,3,4,3,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,2,3,4,3,2,4,3,2,4,4,99,3,96,3185.99408
P6,3,3,3,4,3,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,2,3,4,3,2,4,3,2,4,4,99,2,97,3185.99408
P7,3,3,3,4,3,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,2,3,4,3,2,4,3,2,4,4,99,3,96,3185.99408
P8,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,2,3,3,2,4,4,100,3,97,3184.9406
P9,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,2,3,3,2,4,4,100,3,97,3184.9406
P10,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,2,3,3,2,4,4,100,3,97,3184.9406
P11,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,2,3,3,2,4,4,100,3,97,3184.9406
P12,3,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,4,3,2,4,3,3,4,3,2,100,2,98,3185.81606
P13,3,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,4,3,2,4,3,3,4,3,2,100,3,97,3185.81606
P14,3,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,4,3,2,4,3,3,4,3,2,100,3,97,3185.81606
P15,3,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,4,3,2,4,3,3,4,3,2,100,3,97,3185.81606
P16,3,4,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,4,4,3,3,4,3,2,101,3,98,3186.59168
P17,3,4,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,4,4,3,3,4,3,2,101,3,98,3186.59168
P18,3,4,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,4,4,3,3,4,3,2,101,3,98,3186.59168
P19,3,4,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,4,4,3,3,4,3,2,101,3,98,3186.59168
P20,3,3,4,3,3,3,4,2,3,3,3,4,4,3,3,3,3,3,3,3,4,2,3,3,3,4,4,3,3,4,3,2,101,4,97,3185.49437
P21,3,3,4,3,3,3,4,2,3,3,3,4,4,3,3,3,3,3,3,3,4,2,3,3,3,4,4,3,3,4,3,2,101,2,99,3185.49437
P22,3,3,4,3,3,3,4,2,3,3,3,4,4,3,3,3,3,3,3,3,4,2,3,3,3,4,4,3,3,4,3,2,101,3,98,3185.49437
P23,3,3,4,3,3,3,4,2,3,3,3,4,4,3,3,3,3,3,3,3,4,2,3,3,3,4,4,3,3,4,3,2,101,3,98,3185.49437
P24,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,2,3,3,3,4,100,3,97,3184.93911
P25,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,2,3,3,3,4,100,3,97,3184.93911
P26,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,2,3,3,3,4,100,3,97,3184.93911
P27,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,2,3,3,3,4,100,2,98,3184.93911
P28,3,3,3,3,3,4,2,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,99,3,96,3185.99482
P29,3,3,3,3,3,4,2,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,99,3,96,3185.99482
P30,3,3,3,3,3,4,2,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,99,3,96,3185.99482
P31,3,3,3,3,3,4,2,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,99,4,95,3185.99482
