Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,2,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,2,99,26788.3192
P1,2,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,1,100,26788.3192
P2,2,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,2,99,26788.3192
P3,2,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,1,100,26788.3192
P4,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,1,100,26791.14767
P5,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,1,100,26791.14767
P6,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,1,100,26791.14767
P7,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,2,99,26791.14767
P8,2,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,1,100,26788.32832
P9,2,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,2,99,26788.32832
P10,2,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,2,99,26788.32832
P11,2,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2,3,1,1,1,2,1,2,2,2,101,1,100,26788.32832
P12,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2,2,1,1,0,2,2,2,2,2,2,1,3,1,1,1,2,1,2,2,2,100,2,98,26786.4921
P13,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2,2,1,1,0,2,2,2,2,2,2,1,3,1,1,1,2,1,2,2,2,100,2,98,26786.4921
P14,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2,2,1,1,0,2,2,2,2,2,2,1,3,1,1,1,2,1,2,2,2,100,1,99,26786.4921
P15,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2,2,1,1,0,2,2,2,2,2,2,1,3,1,1,1,2,1,2,2,2,100,2,98,26786.4921
P16,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,3,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,3,2,1,1,1,2,2,2,1,103,1,102,26790.40832
P17,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,3,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,3,2,1,1,1,2,2,2,1,103,2,101,26790.40832
P18,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,3,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,3,2,1,1,1,2,2,2,1,103,1,102,26790.40832
P19,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,3,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,3,2,1,1,1,2,2,2,1,103,1,102,26790.40832
P20,2,1,1,1,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,2,3,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,3,2,1,1,1,2,2,2,1,101,3,98,26788.3726
P21,2,1,1,1,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,2,3,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,3,2,1,1,1,2,2,2,1,101,2,99,26788.3726
P22,2,1,1,1,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,2,3,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,3,2,1,1,1,2,2,2,1,101,1,100,26788.3726
P23,2,1,1,1,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,2,3,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,3,2,1,1,1,2,2,2,1,101,1,100,26788.3726
P24,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,3,2,1,1,1,2,2,2,1,101,2,99,26790.04327
P25,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,3,2,1,1,1,2,2,2,1,101,2,99,26790.04327
P26,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,3,2,1,1,1,2,2,2,1,101,2,99,26790.04327
P27,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,3,2,1,1,1,2,2,2,1,101,1,100,26790.04327
P28,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,0,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2,0,1,1,2,2,2,2,2,1,99,2,97,26789.98956
P29,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,0,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2,0,1,1,2,2,2,2,2,1,99,1,98,26789.98956
P30,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,0,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2,0,1,1,2,2,2,2,2,1,99,1,98,26789.98956
P31,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,0,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2,0,1,1,2,2,2,2,2,1,99,2,97,26789.98956
P32,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,0,1,2,1,2,3,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,0,1,1,2,2,2,2,2,1,99,1,98,26789.99338
P33,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,0,1,2,1,2,3,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,0,1,1,2,2,2,2,2,1,99,1,98,26789.99338
P34,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,0,1,2,1,2,3,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,0,1,1,2,2,2,2,2,1,99,2,97,26789.99338
P35,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,0,1,2,1,2,3,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,0,1,1,2,2,2,2,2,1,99,2,97,26789.99338
P36,2,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,1,2,1,3,2,1,1,0,2,3,2,1,1,1,2,1,98,2,96,26786.81234
P37,2,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,1,2,1,3,2,1,1,0,2,3,2,1,1,1,2,1,98,1,97,26786.81234
P38,2,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,1,2,1,3,2,1,1,0,2,3,2,1,1,1,2,1,98,1,97,26786.81234
P39,2,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,1,2,1,3,2,1,1,0,2,3,2,1,1,1,2,1,98,2,96,26786.81234
P40,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,3,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,0,2,3,2,1,1,1,2,1,99,1,98,26790.04614
P41,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,3,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,0,2,3,2,1,1,1,2,1,99,2,97,26790.04614
P42,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,3,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,0,2,3,2,1,1,1,2,1,99,1,98,26790.04614
P43,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,3,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,0,2,3,2,1,1,1,2,1,99,1,98,26790.04614
P44,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,4,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,0,1,2,3,1,2,1,1,2,101,2,99,26789.91963
P45,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,4,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,0,1,2,3,1,2,1,1,2,101,1,100,26789.91963
P46,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,4,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,0,1,2,3,1,2,1,1,2,101,2,99,26789.91963
P47,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,4,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,0,1,2,3,1,2,1,1,2,101,2,99,26789.91963
