Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,6,6,6,6,7,6,6,6,7,6,6,6,6,6,7,6,99,6,93,3455.89016
P1,6,6,6,6,7,6,6,6,7,6,6,6,6,6,7,6,99,6,93,3455.89016
P2,6,6,6,6,7,6,6,6,7,6,6,6,6,6,7,6,99,6,93,3455.89016
P3,6,6,6,6,7,6,6,6,7,6,6,6,6,6,7,6,99,6,93,3455.89016
P4,6,6,6,6,6,7,5,7,6,7,6,6,6,6,7,6,99,6,93,3455.99974
P5,6,6,6,6,6,7,5,7,6,7,6,6,6,6,7,6,99,7,92,3455.99974
P6,6,6,6,6,6,7,5,7,6,7,6,6,6,6,7,6,99,5,94,3455.99974
P7,6,6,6,6,6,7,5,7,6,7,6,6,6,6,7,6,99,7,92,3455.99974
P8,7,6,7,6,6,6,7,6,6,6,7,6,7,6,5,7,101,6,95,3456.43892
P9,7,6,7,6,6,6,7,6,6,6,7,6,7,6,5,7,101,6,95,3456.43892
P10,7,6,7,6,6,6,7,6,6,6,7,6,7,6,5,7,101,7,94,3456.43892
P11,7,6,7,6,6,6,7,6,6,6,7,6,7,6,5,7,101,6,95,3456.43892
P12,6,7,6,7,6,6,7,6,6,6,6,7,6,7,6,6,101,6,95,3456.73002
P13,6,7,6,7,6,6,7,6,6,6,6,7,6,7,6,6,101,7,94,3456.73002
P14,6,7,6,7,6,6,7,6,6,6,6,7,6,7,6,6,101,6,95,3456.73002
P15,6,7,6,7,6,6,7,6,6,6,6,7,6,7,6,6,101,6,95,3456.73002
