Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,3,3,3,3,3,3,6,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,4,101,3,98,3185.63469
P1,3,3,3,3,3,3,6,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,4,101,3,98,3185.63469
P2,3,3,3,3,3,3,6,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,4,101,3,98,3185.63469
P3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,4,101,3,98,3185.63469
P4,3,3,3,3,4,3,3,4,3,4,2,2,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,100,4,96,3185.63883
P5,3,3,3,3,4,3,3,4,3,4,2,2,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,100,3,97,3185.63883
P6,3,3,3,3,4,3,3,4,3,4,2,2,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,100,3,97,3185.63883
P7,3,3,3,3,4,3,3,4,3,4,2,2,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,100,4,96,3185.63883
P8,3,2,3,3,3,3,3,3,4,2,4,3,3,4,2,3,3,4,3,3,3,2,3,3,3,4,3,3,4,3,3,3,98,4,94,3185.64085
P9,3,2,3,3,3,3,3,3,4,2,4,3,3,4,2,3,3,4,3,3,3,2,3,3,3,4,3,3,4,3,3,3,98,2,96,3185.64085
P10,3,2,3,3,3,3,3,3,4,2,4,3,3,4,2,3,3,4,3,3,3,2,3,3,3,4,3,3,4,3,3,3,98,4,94,3185.64085
P11,3,2,3,3,3,3,3,3,4,2,4,3,3,4,2,3,3,4,3,3,3,2,3,3,3,4,3,3,4,3,3,3,98,3,95,3185.64085
P12,3,3,4,3,3,3,4,3,3,4,2,3,4,3,3,4,3,3,3,3,3,3,4,3,3,4,4,2,3,3,4,2,102,4,98,3185.64096
P13,3,3,4,3,3,3,4,3,3,4,2,3,4,3,3,4,3,3,3,3,3,3,4,3,3,4,4,2,3,3,4,2,102,3,99,3185.64096
P14,3,3,4,3,3,3,4,3,3,4,2,3,4,3,3,4,3,3,3,3,3,3,4,3,3,4,4,2,3,3,4,2,102,3,99,3185.64096
P15,3,3,4,3,3,3,4,3,3,4,2,3,4,3,3,4,3,3,3,3,3,3,4,3,3,4,4,2,3,3,4,2,102,4,98,3185.64096
P16,4,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,4,3,2,100,4,96,3185.67778
P17,4,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,4,3,2,100,3,97,3185.67778
P18,4,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,4,3,2,100,3,97,3185.67778
P19,4,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,4,3,2,100,3,97,3185.67778
P20,3,3,3,4,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,4,99,3,96,3185.74194
P21,3,3,3,4,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,4,99,3,96,3185.74194
P22,3,3,3,4,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,4,99,2,97,3185.74194
P23,3,3,3,4,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,4,99,3,96,3185.74194
P24,3,4,3,3,3,4,2,2,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,101,3,98,3185.80417
P25,3,4,3,3,3,4,2,2,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,101,3,98,3185.80417
P26,3,4,3,3,3,4,2,2,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,101,3,98,3185.80417
P27,3,4,3,3,3,4,2,2,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,101,3,98,3185.80417
P28,3,4,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,99,3,96,3185.8128
P29,3,4,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,99,3,96,3185.8128
P30,3,4,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,99,3,96,3185.8128
P31,3,4,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,4,99,4,95,3185.8128
