Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,108,76,32,3456.5889
P1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,29,3,116,84,32,3457.17881
P2,0,0,84,0,0,0,0,0,0,0,0,0,0,0,32,0,116,84,32,3456.17732
P3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,32,132,100,32,3500.25872
P4,0,0,0,0,100,0,0,0,0,0,0,0,20,19,0,0,139,100,39,3450.96038
P5,0,0,0,0,0,99,0,0,0,0,0,0,32,0,5,0,136,99,37,3456.34488
P6,0,0,0,0,0,0,98,0,0,0,0,0,0,28,0,0,126,98,28,3460.2684
P7,0,0,0,0,0,0,0,100,0,0,5,28,0,5,0,0,138,100,38,3438.35406
P8,24,16,16,0,0,1,2,0,100,0,8,0,0,0,0,0,167,100,67,3386.10504
P9,0,0,0,0,0,0,0,0,0,100,13,0,0,0,0,0,113,100,13,3468.95783
P10,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,74,74,0,3477.62237
P11,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,72,72,0,3468.62226
P12,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,48,48,0,3460.56464
P13,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,48,48,0,3452.19768
P14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34,34,0,3495.18503
P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,3414.84906
