Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,4,18,7,6,4,1,0,8,10,0,0,8,4,13,5,8,96,4,92,3457.1449480036
P1,0,0,1,6,17,4,28,32,0,4,9,8,5,0,7,4,125,0,125,3456.5315594692
P2,5,4,5,5,5,21,1,0,4,1,9,4,13,20,1,0,98,5,93,3455.7381095882
P3,4,15,1,17,5,0,2,4,0,1,2,9,6,3,16,4,89,17,72,3455.9381108302005
P4,15,6,8,12,5,1,19,1,5,8,6,0,6,0,14,5,111,5,106,3455.9861826896004
P5,18,0,1,0,16,16,1,0,5,0,0,1,22,4,5,6,95,16,79,3456.7073287948
P6,0,6,4,4,0,5,1,24,12,9,7,15,0,9,2,5,103,1,102,3455.8415508276003
P7,2,0,12,1,4,12,4,0,21,10,5,25,1,2,3,4,106,0,106,3456.3423924466
P8,0,0,37,4,5,0,8,0,0,12,19,0,4,5,5,8,107,0,107,3456.8340954776
P9,31,2,5,11,7,0,11,1,0,26,16,13,6,1,4,1,135,26,109,3456.6126203576005
P10,6,8,0,1,0,12,0,5,8,0,0,2,0,18,0,16,76,0,76,3456.6861686668
P11,5,3,1,5,16,0,19,0,9,0,12,4,1,0,10,9,94,4,90,3456.0563769340006
P12,7,14,1,4,1,0,4,23,16,12,1,0,0,17,8,1,109,0,109,3456.6928539242003
P13,0,8,13,5,0,20,1,0,3,13,5,5,24,4,0,3,104,4,100,3455.850530149
P14,3,8,0,17,11,0,1,0,3,0,8,2,4,0,20,4,81,20,61,3455.6074557314005
P15,0,8,4,2,4,8,0,2,4,4,1,4,4,4,0,22,71,22,49,3455.6650829296004
