Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,100,1,0,1,2,0,2,0,1,1,2,1,5,4,1,0,1,7,0,0,1,2,3,3,1,0,0,5,1,1,3,3,152,100,52,2165.2926950364003
P1,0,92,1,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1,0,1,0,1,0,2,1,0,0,3,4,7,3,0,122,92,30,2190.4490914412
P2,0,1,88,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,0,6,4,0,1,2,0,1,9,0,2,120,88,32,2205.7007866096
P3,0,0,0,92,1,2,0,1,1,0,1,0,2,5,3,3,3,7,2,2,1,1,1,1,4,0,2,1,3,1,3,2,145,92,53,2151.075673102
P4,0,0,1,1,88,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,5,1,6,4,5,3,0,0,121,88,33,2205.677845949
P5,0,0,1,0,0,92,0,0,1,1,0,1,2,3,0,5,2,3,0,3,5,0,2,1,1,3,6,3,3,1,1,0,140,92,48,2157.0753226232
P6,0,0,1,0,0,0,84,0,0,1,1,1,0,3,0,0,1,0,0,2,1,0,2,0,0,0,2,0,3,7,1,4,114,84,30,2183.0164528046002
P7,0,0,1,2,0,0,1,84,0,0,0,1,0,1,0,2,0,1,0,0,3,2,4,0,1,0,0,3,3,0,3,3,115,84,31,2203.1200075086
P8,0,1,2,0,0,1,0,0,84,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,3,1,1,5,1,1,5,110,84,26,2227.0822057838
P9,0,1,0,1,0,0,2,1,1,84,3,1,3,0,0,1,0,0,0,0,1,0,1,1,1,0,1,5,3,3,1,2,117,84,33,2205.7759733234
P10,0,0,1,0,0,0,2,4,0,3,84,0,2,4,2,1,2,0,0,0,1,1,1,0,1,1,4,1,1,3,1,3,123,84,39,2160.2557139400005
P11,0,1,1,1,0,0,2,1,0,0,1,84,1,2,0,0,1,2,1,2,1,0,0,0,0,0,1,0,3,1,3,0,109,84,25,2218.4212098188
P12,0,1,0,0,0,0,0,2,3,3,0,3,84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,106,84,22,2158.7921814828
P13,0,0,1,0,1,0,0,5,0,0,0,0,0,68,2,0,0,2,2,1,7,0,2,0,0,0,3,3,3,0,0,0,100,68,32,2170.983370306
P14,0,0,0,0,1,0,0,0,0,0,1,1,0,3,84,0,0,1,0,0,0,0,2,0,0,0,1,3,1,2,0,3,103,84,19,2308.2287478631997
P15,0,0,0,0,1,1,3,0,2,2,0,0,0,1,0,84,1,0,0,1,2,1,4,1,3,0,0,1,1,1,1,0,111,84,27,2169.1750888788
P16,0,1,0,2,2,0,0,0,1,1,5,2,0,2,0,0,84,1,2,1,1,0,1,2,1,0,1,1,1,1,0,1,114,84,30,2051.8188262118
P17,0,0,0,0,4,1,1,0,0,1,1,3,0,1,4,1,3,68,0,1,5,3,0,0,0,0,3,1,1,1,1,1,105,68,37,2185.9410834458
P18,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,5,92,1,1,0,1,0,1,0,0,1,1,1,2,1,114,92,22,2200.7467112692
P19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,84,0,0,0,0,0,0,1,0,0,0,1,0,88,84,4,2550.8407945579997
P20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,1,0,1,0,0,4,0,76,68,8,2467.1905012192
P21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,88,88,0,4100.9669990608
P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,69,68,1,3238.3490357399996
P23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,82,82,0,3851.8251829128003
P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,80,0,0,0,0,0,0,0,82,80,2,3870.7648115047996
P25,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,94,90,4,4238.1115655932
P26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,67,66,1,4789.4036059352
P27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,63,62,1,4487.2655244024
P28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,0,55,54,1,5911.295793544199
P29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,54,0,5826.198575016
P30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,71,70,1,7566.027324193201
P31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,70,0,7525.499377242001
