Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,75,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,1,0,0,1,1,0,2,0,2,0,0,1,0,1,0,1,3,1,2,0,0,2,0,0,1,0,0,0,0,0,2,1,0,1,3,8,0,0,121,75,46,25223.8442869144
P1,0,84,0,0,0,0,0,0,0,1,3,0,2,0,2,1,0,2,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,2,0,0,1,1,0,4,1,0,0,1,0,0,0,1,0,9,1,1,2,2,0,0,130,84,46,25725.595931545202
P2,2,0,82,1,0,4,3,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,4,0,0,1,1,1,1,0,1,1,2,0,0,0,0,1,0,0,3,0,1,2,2,6,1,0,0,3,0,136,82,54,25403.836306086196
P3,0,0,0,84,0,0,0,1,1,1,0,0,2,2,0,0,0,1,0,0,1,2,1,2,1,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,1,2,0,2,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,3,0,9,130,84,46,25589.808851720798
P4,0,0,0,0,84,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,0,4,3,0,1,3,1,2,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,2,2,2,4,0,5,0,0,3,0,133,84,49,25716.9390077586
P5,0,0,0,0,0,79,0,1,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,2,3,0,3,4,1,2,2,0,116,79,37,25697.210961353197
P6,0,0,0,0,3,0,55,3,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,4,0,0,2,2,5,95,55,40,25407.9358768476
P7,0,0,0,0,0,0,1,61,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,1,0,1,0,0,0,5,6,3,94,61,33,25407.887939467404
P8,1,0,0,0,0,1,1,0,63,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,5,0,1,5,1,2,3,1,1,2,0,1,2,1,4,110,63,47,25589.1798667932
P9,1,0,0,0,0,0,0,0,0,62,0,2,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,1,4,0,1,4,0,1,1,4,94,62,32,25781.9174551946
P10,0,0,1,0,0,0,0,0,1,0,59,3,0,2,0,0,0,1,0,1,0,0,2,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,4,4,0,2,1,1,3,0,99,59,40,25394.159328455804
P11,2,1,1,0,0,0,2,0,1,0,0,67,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,3,2,0,7,1,1,1,106,67,39,26105.803877835802
P12,0,0,0,0,0,1,0,0,1,0,0,0,63,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,2,0,2,0,1,0,0,3,0,1,0,0,1,0,0,0,3,0,0,0,1,3,1,3,1,2,3,2,1,2,0,103,63,40,25278.799027914003
P13,0,0,1,0,0,1,2,0,0,0,0,0,0,63,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,0,1,1,0,1,2,0,0,0,0,1,1,0,1,1,0,1,0,0,0,3,0,0,2,3,1,0,7,1,1,103,63,40,25732.2360324816
P14,1,0,0,1,0,0,3,1,0,1,1,0,0,0,79,1,0,0,0,0,1,4,0,0,1,2,0,0,0,0,0,2,2,1,2,1,1,0,0,2,2,1,0,0,0,1,0,1,2,0,0,0,4,0,0,1,0,3,1,2,0,2,1,5,133,79,54,25748.485135070197
P15,0,0,1,0,0,1,2,0,0,6,0,0,0,0,1,88,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,3,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,5,3,2,2,0,3,134,88,46,26034.2816705806
P16,0,1,0,0,0,1,4,0,0,0,1,0,0,2,0,0,66,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,2,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,1,1,0,1,2,0,1,3,2,1,0,0,1,6,108,66,42,25293.398408419598
P17,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,67,2,0,1,2,1,0,0,1,0,1,0,0,1,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,8,1,1,1,3,0,113,67,46,25609.4346136986
P18,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,63,0,0,0,0,3,0,2,0,4,1,1,3,0,0,0,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2,1,1,0,3,2,2,0,2,1,0,0,2,1,6,1,115,63,52,25993.443889626607
P19,1,1,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,2,1,76,0,0,2,3,0,1,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,3,1,0,0,0,6,0,1,1,1,5,0,121,76,45,25641.1423511486
P20,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76,0,0,0,0,0,1,1,0,0,3,0,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,7,1,0,2,2,0,1,1,114,76,38,25447.8698587494
P21,4,1,0,0,1,1,0,2,0,1,2,0,0,0,3,1,0,1,0,0,0,63,0,1,0,0,0,0,0,2,0,0,1,1,2,3,1,2,0,0,0,1,0,1,0,0,3,0,0,0,1,0,1,0,1,1,5,0,1,1,3,1,0,3,116,63,53,25517.47316217
P22,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,2,0,0,72,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,1,3,0,4,3,1,3,1,0,109,72,37,25607.9602532364
P23,1,0,0,1,0,1,0,1,0,0,1,1,0,2,1,0,1,1,2,0,0,0,0,63,0,0,0,0,0,0,1,0,0,1,2,1,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,4,0,0,1,1,2,1,3,6,105,63,42,25356.575343138597
P24,0,0,0,1,0,0,0,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,89,1,0,0,0,0,2,1,0,0,0,3,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,2,0,3,1,1,1,3,5,0,0,3,0,132,89,43,25589.3194022358
