Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,97,0,0,0,0,0,1,0,0,0,2,0,0,0,36,0,136,97,39,3994.8807239478006
P1,0,100,0,0,0,3,0,3,7,6,2,1,15,4,3,6,150,100,50,3073.7742557476
P2,0,0,99,0,0,3,0,3,1,1,10,1,1,8,6,12,145,99,46,3341.814914697
P3,3,0,0,99,0,3,1,3,3,7,7,6,7,7,2,7,155,99,56,3113.6936860168003
P4,0,0,0,0,99,3,11,1,0,0,2,0,1,2,0,22,141,99,42,3419.191428657
P5,0,0,0,0,0,84,1,3,1,2,7,4,9,1,8,3,123,84,39,3059.7426810254
P6,0,0,0,0,1,1,84,1,4,0,0,0,2,24,1,2,120,84,36,3562.2895393376
P7,0,0,0,0,0,1,1,84,0,0,1,0,1,4,8,0,100,84,16,2506.035160062
P8,0,0,0,0,0,1,1,1,84,0,1,0,0,4,0,0,92,84,8,2777.4748482618006
P9,0,0,1,1,0,0,0,0,0,84,0,0,0,2,0,0,88,84,4,2548.4540014312
P10,0,0,0,0,0,0,0,1,0,0,68,0,0,0,0,0,69,68,1,3210.6016583488004
P11,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,88,88,0,4239.4272079632
P12,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,64,64,0,4614.0861816448
P13,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,44,44,0,3164.5145378088
P14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,37,36,1,3707.2013573646004
P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,48,0,4967.0531845056
