Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,84,0,1,1,0,1,1,7,2,1,1,7,0,0,2,0,3,0,0,3,3,2,0,2,5,0,1,2,3,2,3,3,140,84,56,2395.1975049888
P1,0,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,12,0,13,0,123,92,31,3078.669139391
P2,1,0,84,1,0,0,1,3,0,0,0,0,0,2,0,0,1,1,0,1,0,2,0,0,4,3,1,1,3,7,3,2,121,84,37,2451.0309930026
P3,1,0,0,84,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,16,109,84,25,2368.7802028608003
P4,1,1,2,0,84,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,4,0,0,2,1,0,5,2,7,2,118,84,34,2297.6501717506
P5,4,1,3,1,1,92,2,1,0,0,1,0,0,0,5,0,1,0,0,0,1,2,1,0,1,5,7,3,1,3,5,0,141,92,49,2434.0406489324005
P6,0,0,0,0,1,0,84,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,4,6,3,2,2,3,3,4,117,84,33,2375.0140443
P7,0,1,3,0,0,0,0,68,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,7,0,3,5,95,68,27,2345.0547604514
P8,3,2,1,0,4,2,3,1,84,2,0,1,0,1,1,0,1,0,0,0,0,1,2,0,0,3,3,1,3,3,3,2,127,84,43,2383.5672750579997
P9,1,0,3,1,0,0,3,5,0,92,0,0,0,3,6,0,1,1,2,3,3,0,0,1,2,2,1,3,1,0,7,0,141,92,49,2358.072022443
P10,0,0,0,1,0,1,0,1,0,0,92,0,0,2,3,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,12,119,92,27,2435.4494037624004
P11,0,0,0,3,0,0,0,1,3,0,0,84,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,3,3,109,84,25,2499.0840687824
P12,0,0,0,1,1,0,0,1,1,1,1,0,100,3,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,1,5,0,122,100,22,2398.8261413454
P13,1,0,0,0,0,1,0,1,1,0,0,0,0,84,1,0,1,1,1,1,0,2,0,0,0,1,2,3,1,2,3,0,107,84,23,2450.710071564
P14,0,0,1,1,0,1,0,1,1,1,0,0,0,0,68,0,4,0,2,1,1,3,3,2,0,4,2,2,1,0,1,2,102,68,34,2420.0568328065997
P15,1,0,0,1,1,1,1,1,3,1,0,0,0,3,1,100,0,0,1,0,0,3,1,1,0,1,1,0,0,0,4,0,126,100,26,2326.7954997966
P16,1,2,1,1,7,0,1,1,4,0,1,3,0,0,0,0,84,0,1,0,1,0,6,3,0,0,0,1,1,1,3,0,123,84,39,2370.545203699
P17,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,96,4,4,1,0,0,0,0,0,3,1,4,0,1,0,121,96,25,2442.1100115972
P18,1,1,0,1,0,0,2,6,1,1,0,2,0,1,5,0,0,1,84,2,2,0,0,2,0,0,2,0,2,2,1,1,120,84,36,2392.055905355801
P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,2349.8849315591997
P20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,86,84,2,2365.8855080682
P21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,80,80,0,3728.151817328
P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,82,82,0,3887.8699970243997
P23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,89,88,1,4135.484450815
P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,80,80,0,3776.8178558239997
P25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,72,72,0,3377.6988258384004
P26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,70,70,0,5073.092980382001
P27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78,78,0,5642.9884243199995
P28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,49,49,0,5320.930638799999
P29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,69,69,0,7444.587068076
P30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,32,0,3455.9232482880007
P31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,48,0,5160.342430108801
