Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,1,3,1,0,2,2,0,0,0,9,1,0,0,0,0,0,0,1,4,3,7,4,7,0,2,0,4,0,1,7,0,0,4,3,9,13,5,4,3,1,2,0,0,2,1,3,1,3,0,2,6,3,1,2,0,0,0,1,2,2,2,0,1,3,138,1,137,26788.936751844405
P1,1,1,5,1,2,0,8,1,1,0,3,0,1,0,4,0,3,0,0,1,1,1,0,0,0,5,1,4,7,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,2,2,0,0,2,0,0,5,0,2,3,3,0,0,0,2,7,0,1,87,1,86,26786.553318023005
P2,0,2,2,0,1,4,0,1,0,0,2,0,13,2,0,0,0,0,2,0,1,4,2,5,1,0,1,2,3,0,5,6,5,0,2,1,2,5,1,5,0,0,3,6,5,4,6,3,0,0,0,0,0,2,5,2,1,4,0,1,1,0,1,2,126,2,124,26788.2007799152
P3,1,1,0,5,0,5,2,1,2,2,1,2,0,2,1,6,0,1,1,0,0,2,0,1,1,2,0,0,2,0,1,0,0,1,1,0,0,1,2,0,0,0,2,1,1,0,1,1,0,1,1,1,0,0,2,2,1,0,2,5,0,1,6,0,75,5,70,26790.969975949
P4,2,1,2,1,2,5,0,3,0,1,0,0,2,0,10,3,3,1,1,0,0,4,6,5,0,2,1,2,10,1,0,3,1,3,1,1,3,0,1,1,0,0,0,3,3,0,0,0,1,3,2,4,2,0,4,1,0,6,0,0,1,1,0,4,117,2,115,26789.2380976692
P5,2,0,0,0,0,1,1,0,1,8,4,0,4,0,2,0,2,0,0,1,0,0,0,5,0,6,0,2,1,4,0,4,6,3,2,1,0,0,0,0,0,4,2,0,0,1,0,0,2,0,1,1,6,2,0,0,2,0,2,5,0,1,1,2,92,1,91,26791.5836281774
P6,1,4,0,0,2,8,1,0,3,4,3,1,3,1,0,1,0,4,0,0,3,2,2,0,1,0,2,0,0,0,1,4,0,0,2,0,2,0,0,4,1,0,4,0,2,1,1,0,0,0,1,0,0,0,5,1,1,2,0,0,4,0,7,0,89,1,88,26791.192883493604
P7,2,2,1,0,1,3,0,0,8,1,0,1,4,4,0,1,4,1,1,5,2,0,0,0,2,0,0,2,3,2,2,2,2,0,1,3,4,0,0,6,0,3,1,1,0,0,4,0,5,0,2,0,2,0,0,0,1,0,0,4,6,0,0,3,102,0,102,26791.46476698
P8,1,0,0,2,1,0,8,0,0,0,0,0,0,3,9,0,0,2,1,0,0,0,0,1,2,2,0,8,1,5,0,2,6,0,0,0,1,3,1,1,0,5,0,0,0,0,4,3,3,0,0,6,2,4,0,0,0,1,1,0,1,3,2,4,99,0,99,26788.4155292504
P9,4,4,0,2,3,4,0,1,0,1,6,2,0,3,1,2,0,6,2,0,3,7,2,0,0,2,0,2,1,2,2,4,0,4,1,3,0,2,3,5,0,3,2,0,0,2,2,3,1,0,0,4,0,2,4,0,4,3,3,0,2,0,0,0,119,1,118,26787.493703364402
P10,0,4,2,1,0,0,1,0,1,4,1,0,0,0,2,1,2,5,1,3,1,0,2,3,1,0,1,2,0,4,0,0,0,4,4,0,2,0,0,3,0,0,2,2,0,2,7,1,1,0,0,0,0,1,2,0,0,4,0,0,0,6,4,0,87,1,86,26790.2614531518
P11,1,5,6,2,0,1,5,0,2,2,0,1,10,0,1,0,2,2,5,0,1,3,1,0,4,2,1,0,0,0,0,0,2,2,0,0,0,2,8,0,1,0,1,0,1,0,5,0,0,4,0,1,0,1,3,0,9,1,0,0,0,3,1,0,102,1,101,26790.402642249803
P12,0,0,4,0,0,2,0,2,0,0,1,11,0,6,0,0,1,2,1,0,0,6,0,0,4,4,0,1,5,1,1,0,2,0,1,0,0,2,2,0,3,7,0,1,1,0,1,0,4,2,5,0,9,3,2,0,3,0,0,2,0,0,0,5,107,0,107,26788.1526923192
