Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,0,2,6,4,5,0,24,29,0,14,16,5,6,10,0,1,0,9,9,5,2,4,2,4,11,14,2,6,7,5,8,4,214,0,214,2155.8191511948075
P1,8,11,2,12,3,5,5,15,14,1,14,3,0,9,25,7,1,1,4,15,5,2,6,15,4,0,4,2,3,10,4,15,225,11,214,2155.88433363148
P2,5,64,6,29,0,12,18,0,12,18,1,7,8,2,9,5,1,0,6,3,12,5,6,4,0,4,1,13,9,6,4,1,271,6,265,2155.8458371467354
P3,1,0,4,7,2,4,8,6,5,16,7,20,1,0,6,10,0,36,5,9,1,1,21,12,9,1,20,2,6,3,4,6,233,7,226,2155.8570343035185
P4,13,14,0,15,11,2,1,3,8,5,3,7,1,7,2,0,4,4,0,4,7,2,0,1,7,2,5,10,12,9,5,6,170,11,159,2155.8308008431727
P5,4,0,20,5,0,4,11,4,11,1,22,4,0,7,1,18,28,7,5,3,30,24,11,2,2,1,21,12,4,0,1,0,263,4,259,2155.8679051028507
P6,2,15,12,14,1,9,9,5,4,0,32,7,0,8,3,3,3,4,15,0,3,2,1,21,6,12,17,4,10,0,1,0,223,9,214,2155.9290167690624
P7,6,2,0,10,15,49,3,1,6,1,1,7,5,7,1,0,9,0,0,0,1,9,2,0,1,10,19,21,5,38,6,0,235,1,234,2155.8793262799854
P8,3,5,0,0,1,3,4,5,4,2,4,4,0,0,0,0,0,0,12,32,4,10,5,2,4,1,12,2,10,0,4,8,141,4,137,2156.038872026495
P9,6,8,0,16,8,0,8,0,1,7,1,5,10,7,9,1,22,17,0,4,1,3,0,13,17,1,6,12,2,1,6,15,207,7,200,2156.091814980966
P10,0,4,5,2,6,0,1,1,9,1,1,5,1,17,3,5,15,6,2,11,17,14,6,0,27,5,5,2,3,13,16,7,210,1,209,2155.890913009913
P11,39,10,0,7,1,9,16,5,3,3,4,4,5,12,4,3,9,6,6,3,33,1,1,40,1,59,0,11,1,5,4,2,307,4,303,2155.795387132553
P12,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,1,2155.9792858816877
P13,1,2,2,12,13,1,0,7,12,0,1,4,11,4,10,14,7,4,1,4,5,8,2,5,6,0,12,0,1,13,4,3,169,4,165,2156.13921854436
P14,0,0,2,0,2,12,16,0,8,31,4,3,10,13,18,5,2,8,11,9,7,10,46,2,0,0,0,19,1,1,21,4,265,18,247,2155.765386510706
P15,7,15,5,11,11,6,6,3,6,5,15,6,1,2,13,4,2,19,4,4,14,11,7,5,2,8,1,1,0,0,8,7,209,4,205,2155.9449599121003
P16,8,6,7,1,4,18,4,3,27,5,10,7,7,2,6,5,1,13,4,7,3,10,15,36,22,0,1,0,34,7,4,0,277,1,276,2155.866336363172
P17,2,1,12,0,23,0,2,0,8,0,0,0,6,2,0,0,3,5,7,9,4,2,5,0,1,24,2,1,11,0,4,1,135,5,130,2155.8969969940053
P18,25,6,17,0,1,4,4,0,3,6,14,15,4,4,2,2,2,12,16,6,8,10,3,9,14,13,0,2,3,14,12,1,232,16,216,2156.025272115182
P19,1,8,4,1,10,0,7,4,13,0,5,1,9,17,18,1,0,3,1,2,4,2,0,0,6,0,21,5,17,0,32,6,198,2,196,2156.0003175416878
P20,4,1,17,0,17,23,7,1,0,17,3,6,8,2,12,13,5,0,3,0,7,10,20,0,1,3,0,21,2,9,10,5,227,7,220,2156.0339873579846
P21,0,2,0,0,7,2,4,6,4,8,4,10,11,1,1,18,0,5,0,6,3,4,3,0,10,10,0,3,12,1,5,24,164,4,160,2155.837270365192
P22,5,2,13,8,2,3,4,4,0,24,0,24,1,0,20,9,8,1,9,10,0,25,10,0,7,2,5,2,2,0,4,3,207,10,197,2155.9689410604906
P23,12,3,5,4,10,0,1,0,10,2,0,4,9,0,0,13,4,4,25,14,0,0,6,2,3,0,3,9,8,29,3,3,186,2,184,2155.8177577997258
P24,22,0,36,8,10,12,6,13,8,4,4,1,8,14,8,5,28,4,12,5,5,2,0,6,8,0,0,0,8,4,1,27,269,8,261,2155.8472100711197
P25,6,6,9,1,3,1,13,11,2,4,17,3,5,16,0,4,9,4,18,5,11,0,5,5,3,13,13,2,4,2,6,21,222,13,209,2156.0434457089327
P26,4,6,3,2,2,1,7,2,12,1,0,19,2,19,3,1,3,4,8,1,4,3,4,9,0,1,4,6,10,1,1,15,158,4,154,2155.9260913956155
P27,0,5,3,9,8,0,0,69,7,3,14,1,4,1,13,48,15,8,2,11,3,0,2,6,15,0,4,6,14,16,2,0,289,6,283,2156.1320271986247
P28,0,2,0,4,4,18,2,0,4,14,1,20,0,9,2,5,8,6,0,8,3,4,1,0,2,1,1,2,3,4,1,0,129,3,126,2156.01287981648
P29,1,3,4,0,11,1,0,0,1,9,0,0,8,2,2,2,1,0,10,17,4,0,3,0,1,15,1,20,0,9,4,5,134,9,125,2155.9842258235817
P30,7,0,12,14,4,8,4,6,5,0,4,0,21,8,4,5,16,17,13,0,1,13,11,1,4,4,5,5,6,4,16,12,230,16,214,2155.7577503078023
P31,15,5,2,12,13,1,13,5,1,6,6,6,6,6,13,1,2,1,0,1,6,17,4,8,14,4,23,7,0,4,7,7,216,7,209,2155.8556884299996
