Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,98,0,1,0,0,1,0,0,0,0,2,3,2,7,9,14,137,98,39,3455.7292442258004
P1,0,94,0,0,0,0,0,0,1,0,4,6,8,6,4,13,136,94,42,3455.6687598186
P2,0,0,93,0,0,1,0,4,0,1,8,3,15,9,5,4,143,93,50,3456.3501353222
P3,0,0,0,97,3,0,0,0,2,0,2,2,8,8,13,5,140,97,43,3456.0649404598003
P4,0,0,2,0,94,1,0,0,2,1,5,6,9,12,5,2,139,94,45,3457.1653003674
P5,0,0,0,0,0,97,0,0,0,0,0,0,4,1,14,10,126,97,29,3456.7673172916
P6,0,1,1,0,1,0,95,1,0,0,0,1,3,3,5,10,121,95,26,3456.5581049938
P7,1,2,1,2,0,0,0,94,0,2,2,3,1,6,2,10,126,94,32,3456.4863538709997
P8,0,3,0,1,0,0,0,1,95,0,1,1,0,0,6,0,108,95,13,3456.5478038694005
P9,0,0,0,0,0,0,1,0,0,96,3,0,1,1,3,1,106,96,10,3455.3427925164
P10,0,0,0,0,0,0,0,0,0,0,71,1,0,1,0,0,73,71,2,3456.7337732364003
P11,0,0,0,0,1,0,2,0,0,0,0,71,0,0,0,0,74,71,3,3456.3927183284004
P12,0,0,2,0,0,0,1,0,0,0,0,1,47,0,0,0,51,47,4,3455.3713765176
P13,0,0,0,0,1,0,1,0,0,0,0,2,0,45,1,0,50,45,5,3456.7712016084
P14,0,0,0,0,0,0,0,0,0,0,2,0,1,0,32,0,35,32,3,3455.6707973482007
P15,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,31,35,31,4,3456.6147470449996
