Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,10,7,2,0,4,3,1,0,1,1,12,0,0,8,0,13,0,1,9,1,0,0,2,3,20,3,0,1,0,9,1,1,113,10,103,3185.9478888480003
P1,1,8,1,1,1,2,2,3,1,1,2,7,3,3,3,1,0,13,0,1,1,0,7,3,4,2,5,0,4,5,5,0,90,8,82,3185.6678733854
P2,0,3,1,10,3,2,5,10,3,5,3,0,4,4,2,1,1,0,9,3,1,2,3,6,2,0,7,7,4,0,4,1,106,1,105,3185.7598085432005
P3,6,2,0,4,14,1,3,10,5,3,1,1,6,2,5,0,6,5,0,3,2,4,2,7,1,2,11,0,1,1,0,7,115,4,111,3185.7102274890003
P4,0,5,0,0,7,0,4,1,0,0,0,7,1,1,9,4,2,4,2,9,1,9,1,1,1,1,1,5,0,4,5,4,89,7,82,3185.4344463385996
P5,1,0,1,13,1,1,5,3,1,4,8,2,0,6,0,1,6,1,0,0,1,2,1,3,5,7,12,0,0,0,2,8,95,1,94,3185.4773435588004
P6,1,0,2,2,0,1,2,5,5,4,1,11,4,2,5,1,1,2,11,16,3,0,0,4,1,1,0,3,13,1,0,0,102,2,100,3184.9720563953997
P7,0,2,16,0,2,1,2,0,1,2,14,6,3,11,0,3,1,2,5,1,9,13,1,1,2,4,8,0,1,0,1,5,117,0,117,3185.3387365398003
P8,4,0,5,11,0,2,3,0,2,4,0,4,13,2,0,2,4,5,2,0,1,12,1,8,1,7,0,4,1,8,0,0,106,2,104,3186.30963898
P9,1,1,6,0,1,2,9,0,9,5,0,8,4,3,8,5,3,0,3,0,2,6,1,0,2,11,1,0,6,0,2,6,105,5,100,3186.2234802318003
P10,1,5,0,1,0,0,2,7,3,17,3,0,2,1,2,0,10,5,0,13,12,3,1,11,2,1,2,2,2,3,1,2,114,3,111,3185.4024319684
P11,0,2,2,0,0,0,2,2,0,4,2,1,0,0,1,5,2,4,0,1,2,4,1,1,1,4,0,10,1,7,1,6,66,1,65,3185.2689542806006
P12,0,1,6,2,0,12,3,2,4,2,0,4,10,1,2,5,0,0,0,5,9,7,4,1,0,5,4,6,2,5,1,0,103,10,93,3186.6558733016004
P13,1,8,11,0,3,2,1,4,12,3,2,0,1,4,4,0,3,0,0,2,5,4,5,3,0,5,7,2,5,1,3,2,103,4,99,3185.7539172234005
P14,4,0,1,9,0,0,2,2,4,3,0,4,5,0,1,3,3,3,4,0,0,1,4,1,6,7,2,3,8,2,3,1,86,1,85,3185.4023838070007
P15,18,2,4,1,3,4,0,7,6,1,0,8,0,11,5,0,2,0,4,7,6,1,0,1,6,3,4,5,2,6,1,1,119,0,119,3185.7507095348005
P16,8,0,3,2,3,3,1,4,9,0,3,1,0,1,10,4,2,5,4,9,0,0,6,0,4,3,0,7,1,2,2,7,104,2,102,3185.2352628744
P17,1,7,9,2,9,7,8,1,1,0,1,0,3,0,1,3,0,1,3,0,0,3,4,1,1,5,0,9,6,6,0,3,95,1,94,3185.4031987246003
P18,0,1,2,1,1,3,5,0,2,2,2,3,0,0,0,1,3,7,9,2,4,1,0,4,0,5,5,1,0,8,5,3,80,9,71,3185.8438448942
P19,0,1,1,0,0,7,3,4,0,2,1,3,1,0,1,0,3,16,4,3,0,2,0,11,0,4,3,3,8,2,1,2,86,3,83,3185.7599725782
P20,3,3,1,1,4,8,2,1,3,6,7,17,4,1,2,17,3,1,2,2,4,0,8,4,7,1,0,1,1,1,7,2,124,4,120,3185.6523075100004
P21,4,3,5,5,6,4,13,6,1,8,8,1,7,1,3,9,2,0,3,1,0,2,7,0,5,3,1,4,9,2,0,2,125,2,123,3186.6119184534
P22,4,1,0,5,0,4,2,1,6,4,3,1,2,2,4,1,7,2,0,6,0,5,19,0,4,1,0,1,7,2,0,2,96,19,77,3186.2799305946
P23,7,1,0,0,5,0,0,3,0,11,9,0,5,3,0,0,0,1,0,4,8,0,0,2,1,0,1,1,2,0,18,1,83,2,81,3185.7529578184003
P24,2,2,0,2,6,5,2,1,4,0,4,5,3,2,5,2,7,4,2,0,1,1,0,2,16,8,1,3,3,0,5,2,100,16,84,3185.9166793838003
P25,7,8,2,8,1,0,4,0,0,0,1,1,2,9,0,2,7,3,5,1,0,2,4,5,2,5,0,0,4,8,4,1,96,5,91,3185.5614213964004
P26,0,4,0,9,6,13,8,9,5,2,0,1,1,8,1,10,2,0,8,0,2,0,8,0,0,1,6,2,1,5,2,6,120,6,114,3186.2494125368007
P27,0,11,6,3,1,2,2,2,3,0,0,3,1,5,4,1,13,1,5,0,3,4,2,11,0,0,1,1,0,1,0,14,100,1,99,3185.636711602
P28,12,0,2,2,1,3,3,11,6,1,2,0,2,1,15,4,4,4,2,0,3,8,6,1,1,0,0,6,2,1,3,6,112,2,110,3185.8426275302
P29,0,9,5,1,1,5,1,1,1,2,3,1,4,3,2,0,2,1,0,3,6,0,2,1,3,0,11,4,1,3,3,5,84,3,81,3184.9792628302002
P30,2,1,2,1,17,1,0,0,0,1,2,0,1,0,5,0,1,2,2,1,8,3,0,1,0,0,5,3,5,0,13,0,77,13,64,3185.2279872912004
P31,2,2,4,4,0,2,0,0,2,2,6,0,8,5,0,2,0,7,2,6,6,1,0,3,2,1,2,6,0,7,7,0,89,0,89,3185.3388118758003
