Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,3,2,2,1,0,2,4,4,2,0,1,1,0,0,1,0,3,1,2,0,0,0,1,1,0,4,0,0,0,2,1,3,1,1,2,0,1,0,1,0,6,3,0,1,4,1,2,6,2,2,3,1,0,0,2,10,2,4,0,0,2,0,0,2,100,3,97,26789.4149627724
P1,1,0,1,2,1,2,1,6,0,0,0,3,0,2,1,1,4,1,1,1,0,0,4,0,5,0,0,2,1,1,3,0,1,1,3,2,1,3,4,2,0,0,0,2,0,2,1,7,1,0,0,2,0,1,4,0,1,1,7,2,1,0,0,1,94,0,94,26791.682518484602
P2,1,0,1,1,2,0,0,0,0,2,0,2,0,4,0,0,2,1,4,0,0,4,1,0,8,4,2,0,2,1,1,7,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,9,1,1,6,0,1,0,6,0,1,1,0,8,0,1,1,94,1,93,26787.917522437205
P3,5,3,0,0,0,2,2,1,1,6,0,2,0,0,2,2,1,2,0,6,2,0,0,4,0,2,0,6,0,2,0,0,0,2,4,1,0,2,1,0,5,2,2,1,1,0,2,0,0,1,0,5,0,1,10,0,0,1,0,4,0,1,1,4,102,0,102,26791.3585371968
P4,1,0,0,0,0,5,3,0,1,2,0,0,0,0,2,1,0,0,0,0,2,1,1,0,1,1,2,3,2,0,7,0,2,3,0,3,2,1,0,4,0,0,1,1,0,4,1,0,4,0,0,2,0,4,0,2,0,8,1,1,0,1,2,0,82,0,82,26790.319229604003
P5,0,1,0,3,1,0,0,0,6,0,3,1,0,1,1,2,1,3,5,0,0,2,2,1,2,0,3,2,6,2,1,1,0,2,0,4,3,0,3,4,2,0,0,3,1,0,0,1,5,4,0,3,0,0,0,0,2,0,6,4,1,0,0,1,99,0,99,26790.2035408028
P6,4,2,0,0,8,1,5,1,0,0,0,0,6,4,0,0,0,2,2,3,1,1,1,2,0,2,0,2,2,0,2,0,0,0,0,0,2,0,2,1,1,9,0,2,0,0,0,0,0,5,0,6,2,3,1,1,2,1,1,3,1,1,0,3,98,5,93,26789.3234090786
P7,1,2,0,2,0,0,4,0,0,5,0,0,0,0,0,0,1,3,0,1,3,6,0,0,0,0,3,0,0,2,1,0,0,2,1,1,0,2,0,0,1,2,3,1,2,4,1,0,2,0,3,1,0,5,0,1,2,0,4,5,0,1,1,0,79,0,79,26787.4768223772
P8,4,2,5,1,0,3,2,0,4,5,0,0,3,0,3,2,0,1,3,0,1,5,0,2,3,1,1,2,2,0,2,0,0,0,2,3,3,0,3,0,2,8,10,2,2,0,0,1,4,3,3,0,5,2,1,1,0,2,2,2,1,3,0,0,122,4,118,26788.1224403418
P9,4,2,1,5,2,0,0,1,2,0,0,3,5,6,2,0,1,1,3,5,2,0,2,2,0,0,0,0,2,2,0,2,0,1,0,0,0,0,6,3,0,1,0,0,1,1,0,1,0,1,1,0,0,1,12,0,0,2,1,1,6,2,0,0,96,0,96,26787.769339562397
