input_file,output_file,max_num_migrated_tasks,solutions_found,result_id,num_of_processes,num_of_tasks,imbalance_ratio,speedup,num_migrated_tasks,total_load,max_load,avg_load,min_load,max_load_before_rebalancing,avg_load_before_rebalancing,min_load_before_rebalancing,num_binary_variables,num_constraints,num_inequality_constraints,qpu_access_time,run_time,charge_time,problem_id,experiment_id,max_time
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case0.csv,new_outputs/1_varied_imbs_speedup/case_0_k_2_rid_0.csv,2,1,0,8,400,0.0074648854671167,1.010926187815064,2,18304.55760956,2305.1498794552003,2288.069701195,2268.7243557048,2330.33637998,2288.069701195,2257.5401783,336,17,17,31980,4528825,4528825,640c7e28-3b8a-4ee7-886f-6a867f16bede,0,5.0
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case0.csv,new_outputs/1_varied_imbs_speedup/case_0_k_347_resultid_0.csv,347,1,0,8,400,0.0010057794035725,1.0174493064661896,347,18304.55760956,2290.3709945744,2288.069701195,2286.2492256132,2330.33637998,2288.069701195,2257.5401783,336,17,17,32083,5258866,5000000,e0af952f-77ab-428b-8e74-832cf8930aa7,0,5.0
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case1.csv,new_outputs/1_varied_imbs_speedup/case_1_k_73_resultid_0.csv,73,1,0,8,400,0.0078053954790192,2.9411764705882355,73,13831.30836486,1742.40839958,1728.9135456075,1718.1944503872,5124.730587,1728.9135456075,94.24691198,336,17,17,32034,5197797,5000000,75378b81-5e34-4027-a359-1a2661680f9c,0,5.0
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case1.csv,new_outputs/1_varied_imbs_speedup/case_1_k_354_resultid_0.csv,354,1,0,8,400,0.0002584691441833,2.963367577033226,335,13831.30836486,1729.3604164120002,1728.9135456075,1728.3509206764,5124.730587,1728.9135456075,94.24691198,336,17,17,32078,5244374,5000000,65c0ec9e-b5a4-434b-8014-b073a9ef8717,0,5.0
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case2.csv,new_outputs/1_varied_imbs_speedup/case_2_k_107_resultid_0.csv,107,1,0,8,400,0.0075073547991824,3.6159451576777593,107,11390.11468888,1434.4530401316,1423.76433611,1410.3260269204,5186.90352438,1423.76433611,94.75812912,336,17,17,32102,5303028,5000000,28961217-ffc3-4e0b-be14-b6b982a90287,0,5.0
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case2.csv,new_outputs/1_varied_imbs_speedup/case_2_k_352_resultid_0.csv,352,1,0,8,400,0.0002537839986827,3.642167017201336,349,11390.11468888,1424.1256647163998,1423.76433611,1423.3495798156,5186.90352438,1423.76433611,94.75812912,336,17,17,32058,5374145,5000000,12b55ba1-4b98-4d31-8996-ef4a5012bf0b,0,5.0
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case3.csv,new_outputs/1_varied_imbs_speedup/case_3_k_49_resultid_0.csv,49,1,0,8,400,0.1380699515516155,4.363320404265679,49,8301.78050992,1181.0008678396,1037.72256374,998.0716476232,5153.0851841,1037.7225637400002,95.34163476,336,17,17,32008,5160028,5000000,c01e8d0a-1dc4-4579-8dde-8aea14559947,0,5.0
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case3.csv,new_outputs/1_varied_imbs_speedup/case_3_k_348_resultid_0.csv,348,1,0,8,400,0.0005903710346164,4.962833927686298,312,8301.78050992,1038.3352050836,1037.72256374,1037.3639373792,5153.0851841,1037.7225637400002,95.34163476,336,17,17,32062,5232044,5000000,c40c124f-28bf-47d2-b506-010b9026a2bc,0,5.0
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case4.csv,new_outputs/1_varied_imbs_speedup/case_4_k_71_resultid_0.csv,71,1,0,8,400,0.0590402076545981,4.166666666666667,71,9354.59132198,1238.3610420192,1169.3239152474998,1137.476097126,5159.83767508,1169.3239152474998,94.25210954,336,17,17,32053,5166171,5000000,cd45d838-e80f-4f78-a20a-c9992405b986,0,5.0
../experiments/varied_imb_ratios/input_lrp/input_table_varied_imbs_case4.csv,new_outputs/1_varied_imbs_speedup/case_4_k_353_resultid_0.csv,353,1,0,8,400,0.0002012920835971,4.411779475611142,331,9354.59132198,1169.5592908948,1169.3239152475,1168.9543409352,5159.83767508,1169.3239152474998,94.25210954,336,17,17,32053,5230025,5000000,52f0f11f-2dd6-4080-8d2c-05724dc9ebda,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_4nodes.csv,new_outputs/2_varied_num_procs/nodes_4_k_90_resultid_0.csv,90,1,0,4,400,0.0002550838268518,3.3855779118208167,89,12192.95525548,3049.0163702918003,3048.23881387,3047.6747879802,10322.68247604,3048.23881387,187.59217262,84,9,9,32049,5157854,5000000,d2ce1d9f-b6e3-4a99-ac9a-cee8b18bcd8e,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_4nodes.csv,new_outputs/2_varied_num_procs/nodes_4_k_300_resultid_0.csv,300,1,0,4,400,1.3326618379093642e-05,3.386396388778316,241,12192.95525548,3048.2794365854006,3048.23881387,3048.1867165508,10322.68247604,3048.23881387,187.59217262,84,9,9,32050,4912503,4912503,3b917f3b-65cb-478a-a7c4-5314c1540dd8,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_8nodes.csv,new_outputs/2_varied_num_procs/nodes_8_k_163_resultid_0.csv,163,1,0,8,800,0.0019318319356974,3.244901910398749,163,25396.24214168,3180.662926662,3174.53026771,3168.7254228644,10320.93920706,3174.5302677100003,188.86241912000003,392,17,17,32098,5433892,5000000,878abaee-04d9-4deb-9b50-9fd2b4289721,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_8nodes.csv,new_outputs/2_varied_num_procs/nodes_8_k_700_resultid_0.csv,700,1,0,8,800,0.0001098305695637,3.250813476841756,684,25396.24214168,3174.8789281774,3174.53026771,3173.946063513,10320.93920706,3174.5302677100003,188.86241912000003,392,17,17,32102,5116082,5000000,076d9645-d7c2-4ac7-a04a-7640079bbc47,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_16nodes.csv,new_outputs/2_varied_num_procs/nodes_16_k_350_resultid_0.csv,350,1,0,16,1600,0.0006257342024833,2.9921193162594477,350,55300.23536682001,3458.4274134684006,3456.2647104262505,3455.2008099636,10348.02746772,3456.2647104262496,188.88993264,1680,33,33,32078,5284218,5000000,e4958972-6e5e-4729-a679-9aeec313f893,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_16nodes.csv,new_outputs/2_varied_num_procs/nodes_16_k_1499_resultid_0.csv,1499,1,0,16,1600,0.0002392525168733,2.993275438971073,1406,55300.23536682001,3457.0916304572006,3456.2647104262505,3455.594555854,10348.02746772,3456.2647104262496,188.88993264,1680,33,33,32082,5270466,5000000,d6922a2b-485e-49ef-bc56-9bb6fdf1c9d3,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_32nodes.csv,new_outputs/2_varied_num_procs/nodes_32_k_644_resultid_0.csv,644,1,0,32,3200,0.0013654424409706,3.4040362674062465,644,101942.36807832004,3190.0488910696004,3185.699002447501,3184.0483488984,10859.042119999998,3185.6990024475,181.31871224,6944,65,65,32086,14500161,14500161,6177ac70-cca5-438d-a453-2996be8f89f0,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_32nodes.csv,new_outputs/2_varied_num_procs/nodes_32_k_3098_resultid_0.csv,3098,1,0,32,3200,0.0003003644893523,3.4076607427174945,3053,101942.36807832,3186.6558733016004,3185.6990024475,3184.9720563954,10859.042119999998,3185.6990024475,181.31871224,6944,65,65,32048,14244519,14244519,bbb71de0-2e95-4d2f-aef6-f201892cc490,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_64nodes.csv,new_outputs/2_varied_num_procs/nodes_64_k_2353_resultid_0.csv,2353,1,0,64,6400,0.0001144537431846,5.557815932255557,2353,1714501.65195474,26792.1544232266,26789.088311792813,26786.3988037108,148905.86271286,26789.088311792817,552.5210857399999,28224,129,129,48084,116632120,116632120,acbeb83f-3aaa-41ed-9b8e-e8ee269bca22,0,5.0
../experiments/varied_num_procs/input_lrp/input_table_64nodes.csv,new_outputs/2_varied_num_procs/nodes_64_k_6302_resultid_0.csv,6302,1,0,64,6400,0.0001106486173284,5.557837078104905,6298,1714501.65195474,26792.052487374003,26789.088311792813,26786.85340309221,148905.86271286,26789.088311792817,552.5210857399999,28224,129,129,48090,116437416,116437416,387b99dc-60b4-4609-bd37-f3a0beb79f27,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_0.csv,11,25,0,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_1.csv,11,25,1,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_2.csv,11,25,2,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_3.csv,11,25,3,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_4.csv,11,25,4,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
