Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,196,0,0,3,14,1,0,0,2,2,11,1,4,2,0,1,3,2,1,14,1,0,0,0,1,0,0,1,0,2,0,0,262,196,66,2155.9374218744374
P1,0,188,0,4,8,1,2,0,0,0,0,15,1,12,0,0,0,0,1,8,2,0,0,1,0,1,0,0,0,0,0,0,244,188,56,2155.8572848384565
P2,0,0,190,8,4,0,0,0,0,0,1,13,4,7,0,0,0,0,0,10,6,0,0,1,1,0,0,0,0,0,0,0,245,190,55,2156.0816484961388
P3,1,0,1,106,0,1,2,0,1,1,1,0,0,0,0,1,3,3,2,0,0,4,1,0,0,0,1,0,0,1,0,4,134,106,28,2155.9374269624523
P4,0,4,2,2,44,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,1,1,0,0,0,2,0,1,68,44,24,2155.864241788735
P5,1,0,0,3,7,185,0,0,0,1,15,3,9,2,0,0,0,3,2,9,5,0,0,1,0,1,0,1,0,0,1,0,249,185,64,2155.8956927641198
P6,0,1,0,0,1,0,194,0,0,3,5,8,17,8,2,0,1,0,0,4,5,0,3,2,0,0,0,1,1,0,0,0,256,194,62,2155.968104141033
P7,0,0,0,3,14,0,0,205,0,1,0,6,7,7,1,0,0,3,0,8,3,0,0,1,0,0,0,0,1,0,0,2,262,205,57,2156.0311428973123
P8,0,0,0,4,0,1,0,0,190,0,1,4,17,8,0,0,0,0,0,11,4,1,0,0,0,1,0,1,0,0,0,0,243,190,53,2155.8526664990763
P9,1,0,0,2,1,1,0,0,0,189,12,9,18,0,0,1,0,0,0,4,0,2,0,0,0,2,0,0,1,1,0,0,244,189,55,2155.9700987057586
P10,0,1,2,0,0,0,0,0,1,0,71,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,80,71,9,2155.9897793718887
P11,0,0,2,4,0,1,1,1,1,2,0,37,0,1,0,7,2,1,2,0,3,0,2,4,3,7,0,1,0,0,0,0,82,37,45,2155.9953535518416
P12,0,0,0,0,1,1,0,0,0,0,0,2,36,0,0,1,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,47,36,11,2155.9501118497114
P13,0,0,0,1,2,0,0,0,0,0,1,0,0,65,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,72,65,7,2155.784682023808
P14,2,1,0,1,13,1,0,0,1,0,10,8,1,11,196,0,0,3,0,5,5,0,0,0,4,0,0,0,0,0,2,2,266,196,70,2155.895506397024
P15,0,1,0,7,11,1,1,0,1,1,0,11,10,0,0,190,0,1,0,3,7,1,0,1,0,0,0,0,2,1,0,0,250,190,60,2155.838627258168
P16,1,0,0,4,1,2,0,0,1,0,7,17,9,2,1,0,195,0,0,4,3,0,0,0,1,0,4,4,1,0,2,1,260,195,65,2155.793810522038
P17,0,0,0,15,11,0,0,0,0,0,12,3,7,0,1,1,0,184,0,7,2,0,0,0,0,0,0,0,0,0,1,0,244,184,60,2155.851013894298
P18,1,0,0,2,8,1,0,1,1,0,8,11,10,5,0,3,0,0,196,0,7,0,0,0,0,2,0,0,1,1,0,1,259,196,63,2156.061695561322
P19,2,0,0,4,0,1,0,1,1,2,0,0,0,1,2,1,2,0,0,42,1,2,2,1,1,3,2,0,0,0,0,6,77,42,35,2155.902484850466
P20,0,4,1,0,0,3,1,0,3,3,0,0,0,0,1,0,0,1,1,0,107,0,0,1,1,3,0,0,0,2,3,0,135,107,28,2155.815720296082
P21,0,1,0,4,5,0,0,0,0,1,5,5,8,13,1,0,0,0,0,6,11,188,0,0,0,0,1,1,2,0,1,1,254,188,66,2155.903400617043
P22,1,2,2,6,13,2,0,0,0,1,11,3,5,7,1,1,0,2,1,7,2,1,199,0,1,0,0,0,0,2,5,3,278,199,79,2155.854646921947
P23,0,0,1,6,7,0,1,0,0,0,6,7,5,14,0,0,0,1,0,6,4,0,0,191,1,0,0,2,1,0,0,0,253,191,62,2155.917746843033
P24,1,0,3,6,15,2,1,0,0,0,3,5,12,2,0,0,0,0,1,2,2,1,0,0,192,3,0,3,2,0,0,1,257,192,65,2155.961009329971
P25,0,0,0,2,15,0,0,0,0,0,2,1,7,4,0,0,0,0,0,12,5,0,0,0,0,179,0,3,2,1,0,2,235,179,56,2155.9950519869562
P26,0,2,2,3,0,1,0,0,1,0,1,8,8,12,1,0,0,0,1,14,5,2,0,1,0,1,200,1,0,1,1,0,266,200,66,2155.8952463389273
P27,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,186,2,0,0,7,201,186,15,2155.8370155329094
P28,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,191,0,0,0,199,191,8,2156.03662558189
P29,0,0,1,5,1,0,1,0,1,1,3,15,3,7,0,0,0,0,0,11,7,0,0,0,0,0,0,1,1,192,0,3,253,192,61,2155.9474720863313
P30,1,2,0,3,7,0,0,0,1,0,7,2,7,14,0,0,0,0,0,12,0,0,0,1,0,0,0,1,0,0,192,1,251,192,59,2155.981447707125
P31,0,0,0,0,4,0,0,0,0,0,14,14,3,3,0,0,0,2,0,7,8,0,0,0,0,1,0,0,0,1,0,173,230,173,57,2155.9612641296917
