Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,8,5,0,0,2,9,2,12,4,1,39,2,1,4,6,1,96,8,88,3457.0419697772004
P1,11,26,3,3,7,6,12,20,5,5,3,1,0,11,8,7,128,26,102,3456.6563572848004
P2,2,0,3,2,10,2,5,3,26,1,6,22,2,8,4,0,96,3,93,3455.3692588818003
P3,1,6,6,3,13,0,18,21,6,1,1,1,3,4,6,13,103,3,100,3456.1033043838
P4,5,11,1,0,1,3,1,0,1,9,0,13,10,10,7,3,75,1,74,3456.0023832338006
P5,13,21,1,39,4,12,2,1,5,5,2,4,4,2,16,5,136,12,124,3456.3189029704
P6,19,1,11,10,4,5,2,5,0,41,0,1,12,10,4,0,125,2,123,3456.544951917
P7,3,2,3,10,17,7,27,3,10,10,9,12,2,1,0,10,126,3,123,3456.3191685696
P8,5,1,4,0,4,3,7,3,9,0,4,0,12,4,16,0,72,9,63,3456.03279972
P9,6,2,3,4,2,8,0,11,14,4,0,2,10,13,1,8,88,4,84,3455.8823795294
P10,5,2,9,12,3,8,10,2,4,1,5,10,11,18,0,2,102,5,97,3456.6160416616
P11,1,1,8,1,1,4,1,2,0,0,1,0,0,0,0,32,52,0,52,3456.7519564598
P12,8,4,12,5,10,18,3,8,4,2,17,1,17,7,3,0,119,17,102,3456.3619213102006
P13,11,8,3,0,9,4,2,2,3,2,5,10,6,6,8,7,86,6,80,3456.3464484214
P14,2,3,11,7,1,1,2,3,3,14,8,6,1,2,13,6,83,13,70,3456.2804679882006
P15,0,7,22,4,12,10,6,4,6,4,0,15,9,0,8,6,113,6,107,3455.607054711
