Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,7,0,2,5,0,12,10,17,4,2,4,0,6,0,21,0,90,7,83,3456.625859737
P1,4,1,0,2,7,8,11,8,9,6,4,5,1,11,2,11,90,1,89,3456.9600763308
P2,0,36,0,1,3,13,2,4,0,8,16,8,3,8,2,8,112,0,112,3455.910340309
P3,5,1,3,14,2,9,5,8,1,8,0,4,1,15,8,7,91,14,77,3455.5742306708003
P4,2,6,14,2,8,0,4,8,2,1,1,0,12,26,0,3,89,8,81,3455.6235914206004
P5,1,5,11,2,0,0,8,2,1,2,3,2,17,1,8,8,71,0,71,3456.2589445117997
P6,18,5,2,8,3,5,2,8,28,16,7,10,4,3,5,1,125,2,123,3455.6442337028006
P7,3,14,0,6,5,4,1,13,12,8,11,3,5,0,2,13,100,13,87,3456.787384032
P8,7,1,16,8,9,0,3,6,6,8,0,2,1,8,17,3,95,6,89,3456.3845314964005
P9,12,5,0,4,2,2,6,13,0,11,11,34,0,6,1,1,108,11,97,3456.009677416401
P10,5,2,16,1,4,3,2,1,6,2,12,5,14,2,8,3,86,12,74,3456.4302906994003
P11,3,8,1,6,4,17,1,1,3,8,1,13,7,3,5,10,91,13,78,3456.4165759100006
P12,2,4,4,2,12,4,1,2,0,15,11,6,7,0,9,6,85,7,78,3456.2922582644
P13,12,4,3,1,7,1,26,4,5,5,3,3,10,4,3,10,101,4,97,3457.1060724254003
P14,8,5,13,19,23,22,15,5,2,0,5,0,4,12,7,6,146,7,139,3456.1087827664
P15,11,3,15,19,11,0,3,0,21,0,11,5,8,1,2,10,120,10,110,3456.1025171268
