Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,0,1,0,5,1,2,2,2,2,4,0,0,14,1,6,0,0,2,11,3,0,3,1,11,2,11,7,7,2,0,0,0,100,0,100,3186.0263419186003
P1,4,3,6,0,5,2,0,7,7,1,5,2,5,0,3,3,1,1,6,3,2,0,1,4,1,3,1,5,2,8,5,1,97,3,94,3185.6307387374
P2,7,4,15,3,0,0,1,10,2,3,0,11,12,4,0,9,10,3,9,10,0,1,11,0,0,6,1,2,2,3,3,0,142,15,127,3185.3257417721998
P3,3,11,2,1,0,0,2,6,0,3,3,0,5,7,5,1,1,5,2,0,7,1,1,0,11,2,7,0,3,3,0,6,98,1,97,3185.4995698938
P4,0,7,0,1,2,2,5,0,8,1,0,0,3,0,4,6,7,6,10,0,3,1,5,13,2,3,4,3,2,4,2,0,104,2,102,3185.5847039284004
P5,0,2,3,4,0,0,6,0,0,0,0,2,3,0,1,1,4,0,7,1,1,1,6,7,5,0,3,3,6,6,1,1,74,0,74,3185.21053553
P6,2,4,0,0,5,6,3,1,1,4,7,1,0,0,1,0,0,0,0,1,0,7,4,3,7,14,1,0,6,0,0,6,84,3,81,3185.8406596188
P7,0,2,3,1,1,4,5,3,16,12,0,6,0,0,2,0,8,13,0,2,1,2,0,2,9,2,1,4,4,1,0,8,112,3,109,3185.3975591732
P8,1,6,8,3,5,7,18,2,0,0,5,2,1,0,5,0,2,3,4,2,1,0,0,1,2,3,0,7,3,2,2,11,106,0,106,3185.6435818742
P9,2,0,2,0,16,0,7,8,1,3,0,4,0,21,6,7,4,4,5,3,2,0,2,0,4,0,4,0,5,0,7,3,120,3,117,3185.847030164801
P10,2,1,3,3,0,7,5,1,7,0,8,1,1,2,2,1,0,1,9,4,2,6,0,2,3,0,3,1,4,0,2,11,92,8,84,3186.0330634144
P11,0,7,4,8,2,3,0,4,2,2,5,1,4,3,11,4,4,2,7,1,0,8,2,0,5,1,0,8,5,0,5,1,109,1,108,3185.3789229458002
P12,0,1,0,1,4,0,0,0,0,7,1,0,1,0,5,4,3,0,1,1,1,0,2,1,5,0,6,0,10,4,3,2,63,1,62,3185.2624592795996
P13,16,2,2,2,2,2,1,0,1,0,4,1,0,1,2,9,2,1,3,1,0,2,3,6,3,2,3,0,4,3,7,3,88,1,87,3185.6711916910003
P14,2,1,2,0,9,15,0,0,0,0,3,6,1,5,5,11,2,2,1,4,0,1,26,1,1,1,2,0,0,0,0,9,110,5,105,3185.8251986487994
P15,1,3,7,3,3,1,15,4,14,2,14,0,3,2,3,1,2,4,1,6,4,0,3,4,0,2,7,1,4,4,2,3,123,1,122,3186.3762502736
P16,0,0,7,2,9,4,1,0,6,17,2,2,1,3,0,1,0,5,0,3,2,1,0,2,1,3,4,15,6,2,1,0,100,0,100,3186.2178225588
P17,0,0,0,5,4,11,0,4,0,2,2,3,0,3,3,6,2,1,4,3,6,11,1,15,0,4,6,0,0,2,1,3,102,1,101,3185.3779888154004
P18,1,9,0,0,5,1,3,8,6,3,8,1,0,0,2,7,3,4,3,3,6,5,7,0,1,4,2,3,3,5,4,0,107,3,104,3185.2479581868
P19,1,0,2,12,1,0,1,0,3,2,1,0,2,1,0,10,2,0,0,4,1,4,0,0,3,5,6,5,2,4,7,0,79,4,75,3186.2328391078
P20,0,1,6,0,3,1,4,4,8,2,1,8,5,0,0,3,14,8,0,3,5,7,2,0,8,2,4,8,2,2,0,1,112,5,107,3184.9976406172004
P21,3,5,6,0,6,0,1,5,1,2,1,0,1,1,4,1,0,0,7,8,9,3,1,0,8,1,4,3,3,3,3,3,93,3,90,3186.1976485274004
P22,7,1,1,10,4,12,1,1,0,1,1,4,0,3,2,2,2,3,0,1,4,4,2,8,2,0,0,5,4,11,0,0,96,2,94,3185.925839425
P23,8,1,2,4,1,1,0,3,2,4,6,0,3,0,1,0,4,2,2,1,0,0,5,5,1,4,0,0,4,2,3,11,80,5,75,3185.8155193322
P24,2,2,4,0,0,0,1,0,0,1,0,2,9,3,2,0,0,0,0,1,3,5,2,0,2,2,3,2,1,1,14,2,64,2,62,3185.4930481908004
P25,1,2,1,7,0,4,3,2,0,6,9,6,7,3,1,6,4,16,2,8,3,3,3,3,5,0,1,1,1,3,8,0,119,0,119,3185.1681151411995
P26,2,12,1,4,1,0,0,13,0,0,4,5,6,8,10,0,5,2,0,2,9,2,3,1,7,2,9,0,1,7,0,0,116,9,107,3185.6675338758005
P27,5,1,2,8,2,3,1,5,6,2,9,15,1,1,2,1,3,1,0,6,4,4,5,0,1,1,5,0,3,4,2,5,108,0,108,3186.1042351734
P28,4,8,1,4,1,1,3,0,0,14,0,2,4,0,1,2,7,1,2,5,2,5,1,5,0,2,1,7,1,1,11,0,96,1,95,3185.5878305466003
P29,7,1,0,0,1,7,9,4,2,1,1,10,4,0,0,0,1,3,0,1,2,4,1,4,1,11,3,8,0,8,0,1,95,8,87,3186.1604852704004
P30,15,2,7,8,3,1,2,3,4,1,0,4,3,20,3,1,2,6,1,4,17,5,0,2,0,6,1,2,3,1,5,1,133,5,128,3185.3628625910005
P31,4,0,3,1,4,3,0,0,1,0,0,1,1,8,8,3,1,1,3,5,3,4,0,0,0,3,1,0,4,6,2,8,78,8,70,3186.2571620956005
