Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,5,0,2,2,1,0,0,6,3,3,4,1,1,0,1,0,0,0,4,1,0,0,0,0,1,1,2,0,0,2,0,2,3,1,0,0,2,4,3,2,1,0,2,1,1,2,0,0,3,0,3,2,3,0,0,3,1,0,0,1,0,6,4,1,91,5,86,26788.8096284894
P1,0,0,2,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,2,6,1,3,3,1,3,2,1,0,0,0,1,6,5,1,3,3,6,7,7,1,0,0,2,1,0,2,1,0,4,1,1,0,1,1,3,2,1,2,96,0,96,26790.1734347346
P2,6,5,0,0,1,3,0,0,1,0,2,0,2,0,2,3,2,3,0,0,0,3,0,1,0,0,1,5,0,1,1,1,3,2,1,6,0,0,0,10,0,1,6,1,2,3,2,0,0,0,0,3,0,0,2,1,0,2,2,2,1,1,5,0,99,0,99,26789.5658407204
P3,1,0,1,2,1,0,3,0,1,1,0,0,7,0,0,2,1,0,0,4,3,1,1,4,1,2,0,0,8,0,0,4,0,6,3,6,2,0,0,0,0,4,0,0,0,4,10,3,2,2,3,1,4,1,0,4,2,4,2,0,0,0,1,1,113,2,111,26790.9370875358
P4,2,0,0,0,0,1,1,6,2,0,4,0,1,0,1,0,0,0,1,1,1,0,0,0,0,4,1,3,2,3,2,5,1,2,0,0,3,0,1,0,2,1,0,1,3,1,0,1,6,0,0,2,1,0,1,1,1,3,0,0,2,1,4,3,82,0,82,26791.7158632294
P5,0,2,2,3,1,0,3,0,10,0,1,0,0,1,0,0,4,0,0,0,3,2,0,1,1,3,1,0,1,1,0,1,0,0,1,0,6,4,0,5,0,1,0,1,2,2,2,11,1,1,0,3,0,0,5,0,0,2,5,0,3,0,1,1,98,0,98,26787.9509248728
P6,1,0,2,0,3,1,1,0,5,2,2,0,0,1,1,1,0,0,1,0,4,1,2,1,0,0,0,0,3,0,2,0,1,2,0,2,5,1,3,1,1,3,3,2,0,0,1,0,3,0,2,1,2,0,3,1,5,1,0,1,0,2,2,2,84,1,83,26788.2070770256
P7,1,2,0,0,6,1,2,0,2,0,0,0,0,2,0,1,1,3,0,1,0,0,3,1,0,1,2,2,1,0,4,0,1,2,3,0,8,1,1,3,0,0,1,2,0,0,2,0,0,1,5,6,1,0,2,0,4,1,1,1,1,2,0,3,88,0,88,26788.9092178334
P8,0,0,2,1,1,0,0,2,0,0,6,6,0,2,3,2,1,0,2,0,0,0,1,0,2,1,5,0,0,2,0,0,0,1,1,3,0,2,1,7,2,2,1,2,1,0,0,1,1,3,3,2,1,5,2,0,0,2,2,2,0,2,0,4,92,0,92,26790.684235574598
P9,0,1,1,1,0,0,5,4,0,5,0,0,3,3,0,0,4,0,3,3,3,1,0,2,1,2,0,0,1,1,0,3,4,2,6,0,3,0,2,0,2,0,1,0,4,2,2,6,1,1,0,1,0,0,0,4,1,1,1,0,0,5,0,5,101,5,96,26788.923128607
P10,3,1,2,0,2,1,0,1,3,3,0,1,4,1,2,1,0,0,0,0,1,1,4,2,1,1,0,0,0,6,1,1,1,0,3,0,1,1,0,0,0,1,2,1,2,0,0,2,2,0,2,1,0,0,0,2,1,1,6,0,0,0,4,3,79,0,79,26786.5305657408
P11,4,1,0,1,2,0,0,1,0,1,0,2,2,2,0,0,1,1,1,0,0,2,5,0,2,3,1,0,0,8,1,1,1,1,0,5,1,3,3,0,3,0,2,1,0,0,5,2,2,1,0,2,2,7,3,2,4,0,1,0,3,2,0,0,98,2,96,26788.2346186646
P12,0,2,0,3,0,2,2,2,0,1,0,1,0,0,4,0,6,3,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,2,1,0,0,1,2,3,0,0,5,0,0,0,0,4,3,0,0,0,0,2,0,1,8,2,0,2,0,2,70,0,70,26786.698306086997
P13,1,0,0,1,0,0,6,3,1,0,0,3,0,2,4,5,0,7,6,0,2,3,0,0,5,2,2,2,2,0,3,4,3,5,3,5,4,0,0,5,7,0,0,0,1,3,3,3,2,2,2,1,2,1,0,4,2,0,2,0,0,5,0,2,131,2,129,26789.31872654
P14,1,4,3,0,0,0,1,1,0,4,3,0,1,4,3,1,0,2,0,5,0,1,3,1,7,0,0,0,0,2,0,0,0,0,2,1,1,1,0,0,7,0,1,1,4,0,0,1,3,0,1,0,2,0,3,3,2,1,0,2,1,0,1,6,91,3,88,26791.380593301197
P15,0,1,1,4,3,4,0,1,3,2,0,0,0,2,3,0,1,0,1,3,0,1,2,0,0,0,1,0,3,0,0,0,2,0,3,3,1,1,1,1,15,1,0,0,1,4,6,2,0,1,0,1,3,6,0,10,0,0,0,0,4,1,2,1,106,0,106,26789.207938671803
P16,1,0,0,0,0,6,0,4,0,1,3,1,0,4,5,0,1,0,2,7,0,2,10,5,2,0,4,0,1,0,0,2,0,0,2,0,1,0,2,0,2,0,0,9,0,1,1,8,2,3,4,0,3,3,2,0,0,9,0,1,0,0,0,1,115,1,114,26788.210495
