Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,194,1,0,5,6,1,0,1,0,0,1,14,3,3,1,0,0,0,0,14,0,0,0,0,0,0,1,1,0,0,0,1,247,194,53,2156.0435915357502
P1,0,184,0,1,5,1,0,0,0,0,3,11,8,10,0,0,0,0,0,8,2,1,1,0,0,0,0,0,1,1,0,0,237,184,53,2156.0218056361964
P2,0,2,199,3,14,2,0,0,1,0,0,6,11,3,2,1,0,6,1,7,0,1,0,0,0,0,0,1,1,0,0,0,261,199,62,2155.90264864161
P3,3,1,0,94,0,2,2,3,0,0,0,0,3,1,0,0,0,0,4,1,1,1,2,0,2,0,1,0,1,0,0,1,123,94,29,2155.7671542474186
P4,2,0,1,0,42,1,1,0,2,0,1,2,0,0,2,1,0,7,0,0,0,1,1,1,0,0,1,0,0,0,0,0,66,42,24,2155.8349197424463
P5,1,1,0,1,10,174,0,1,1,0,7,5,5,2,1,2,0,3,0,12,8,0,0,0,0,0,0,2,3,0,0,0,239,174,65,2155.9507771532403
P6,0,3,0,7,11,0,195,2,0,0,4,4,9,5,0,1,0,0,0,7,5,0,2,0,2,1,0,1,1,0,0,0,260,195,65,2155.885474715302
P7,2,0,1,3,7,5,1,193,0,0,4,15,6,1,0,1,0,1,2,4,9,0,5,0,0,0,0,5,0,0,1,1,267,193,74,2156.0028642646066
P8,0,0,1,1,0,1,0,0,190,0,0,14,6,11,0,0,0,0,0,10,10,1,0,0,0,0,0,0,0,1,0,0,246,190,56,2155.7766302178507
P9,0,0,1,10,6,1,1,0,0,196,7,2,14,4,0,0,0,0,0,7,3,0,2,2,0,0,0,0,2,0,0,0,258,196,62,2156.0436486367453
P10,0,0,1,0,0,0,0,0,0,1,72,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,80,72,8,2155.9029522198557
P11,0,0,0,0,1,2,0,1,1,0,1,34,4,0,0,0,1,0,2,0,0,0,3,0,0,0,0,5,0,0,0,0,55,34,21,2155.977598428491
P12,1,1,0,2,3,1,0,0,0,0,1,0,35,1,1,2,4,1,5,0,1,1,0,0,0,0,0,0,0,1,0,1,62,35,27,2155.9121452040863
P13,0,2,0,0,0,1,0,0,0,1,0,1,0,66,1,3,1,0,0,2,0,0,0,1,1,1,0,1,1,0,0,1,84,66,18,2155.8924577898747
P14,0,2,0,7,2,3,1,0,1,4,2,11,10,4,197,0,1,1,1,10,3,1,0,0,1,0,2,1,0,1,1,0,267,197,70,2155.843683688543
P15,0,1,0,1,9,0,0,0,0,1,0,12,8,8,0,187,1,0,0,6,2,1,0,0,0,0,0,1,0,0,0,1,239,187,52,2155.7967385578795
P16,0,0,1,13,0,1,2,0,0,0,2,7,14,0,0,0,197,0,0,7,15,0,1,0,0,0,0,1,0,0,0,0,261,197,64,2155.8466159506247
P17,1,0,0,7,11,1,0,0,0,0,12,4,8,1,1,0,1,184,0,7,2,0,0,0,0,0,0,0,2,1,0,0,243,184,59,2155.882258075841
P18,0,0,0,1,10,0,1,0,0,0,9,4,8,15,0,0,0,1,183,2,4,0,1,0,0,0,0,2,3,0,0,0,244,183,61,2155.842316539764
P19,1,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0,48,39,9,2155.976571761908
P20,1,0,0,0,0,4,0,3,2,0,0,0,0,0,0,3,0,0,6,0,107,1,2,0,0,1,0,0,0,3,2,0,135,107,28,2155.9992482701587
P21,0,2,1,12,11,1,2,0,0,0,13,1,8,14,1,0,0,0,0,0,0,196,1,0,0,0,1,0,3,1,1,1,270,196,74,2155.8488164715236
P22,0,0,1,1,17,2,0,0,0,0,7,7,5,1,0,0,0,0,0,8,0,0,180,0,0,0,0,0,0,0,1,0,230,180,50,2155.9994775428277
P23,0,2,0,7,2,1,0,1,0,1,13,2,8,6,0,0,0,0,0,15,1,0,1,200,0,0,0,1,0,0,3,0,264,200,64,2155.9368447555144
P24,1,0,0,3,11,1,0,0,0,0,11,11,2,10,1,2,0,0,0,3,2,0,0,0,197,0,2,0,0,0,0,0,257,197,60,2155.8674780881443
P25,0,0,0,6,1,1,0,0,0,0,12,8,8,15,0,2,0,0,1,5,1,1,0,1,0,198,0,0,0,0,4,0,264,198,66,2155.875328171433
P26,0,0,0,4,8,0,0,0,1,0,15,8,6,1,0,0,0,1,0,5,7,0,2,1,1,0,197,0,2,0,0,0,259,197,62,2156.0223295283176
P27,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,185,0,0,2,0,199,185,14,2156.035801963625
P28,0,1,1,0,0,0,2,1,3,1,1,0,0,0,0,2,0,0,0,0,2,1,1,1,4,0,0,1,186,4,0,0,212,186,26,2156.034005900529
P29,0,1,0,4,2,0,0,0,4,0,3,4,12,15,0,0,1,0,1,10,2,0,0,0,0,2,0,0,0,194,0,0,255,194,61,2155.9469900108215
P30,0,0,0,8,5,0,0,1,0,2,0,14,2,4,0,0,1,0,1,8,17,0,0,0,0,0,0,0,0,0,192,0,255,192,63,2155.863846883466
P31,1,4,0,5,10,1,0,0,2,0,4,7,5,5,0,0,0,1,1,11,3,1,0,1,0,2,3,0,1,0,0,201,269,201,68,2156.0324210256003
