Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,84,0,1,1,1,0,0,0,7,0,0,1,5,0,15,7,122,84,38,3046.3662171308
P1,0,92,0,7,1,5,0,0,1,0,1,1,7,0,15,7,137,92,45,3127.8935303646003
P2,7,0,92,4,1,1,6,5,7,0,2,7,1,5,7,7,152,92,60,2886.9657068198003
P3,1,0,1,84,5,3,4,0,1,0,0,7,1,19,3,7,136,84,52,3110.2102603970006
P4,1,6,4,3,92,3,1,0,1,0,1,2,10,7,3,3,137,92,45,2667.7379422160006
P5,5,0,2,1,0,84,4,0,7,0,3,5,6,5,3,7,132,84,48,3020.8476347896003
P6,1,1,0,0,0,2,84,0,0,0,1,1,7,1,3,7,108,84,24,2961.0788326286
P7,1,0,0,0,0,0,0,95,0,0,0,0,4,0,7,7,114,95,19,3154.3736586538002
P8,0,0,0,0,0,0,1,0,76,0,0,0,0,2,2,7,88,76,12,3266.026792518
P9,0,0,0,0,0,1,0,0,0,100,0,0,0,0,2,2,105,100,5,3277.0010485702
P10,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,92,92,0,4323.5305137696005
P11,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,76,76,0,3661.3234977864004
P12,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,59,59,0,4253.610698703799
P13,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,61,61,0,4387.1678819622
P14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,41,40,1,4113.953226089401
P15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,40,39,1,4042.1479244202
