Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,12,1,3,5,3,0,2,5,0,16,1,0,1,0,0,2,0,4,0,6,8,1,2,5,0,1,2,0,0,8,7,3,98,12,86,3185.8741831764005
P1,4,16,4,4,0,1,1,2,10,0,4,0,2,1,8,8,3,1,4,2,7,2,9,2,1,7,6,0,0,4,2,3,118,16,102,3186.0308604282004
P2,0,7,1,0,9,2,4,11,3,0,1,2,0,1,2,0,1,0,2,3,3,1,2,0,0,6,0,25,0,1,0,4,91,1,90,3186.5311212606002
P3,1,10,3,3,5,2,5,8,3,1,3,2,4,2,9,0,0,8,7,0,1,1,1,18,2,1,1,0,2,4,3,4,114,3,111,3186.1499376335996
P4,6,4,4,5,1,4,6,4,6,0,0,5,1,5,0,2,0,1,0,0,21,2,4,1,4,0,2,0,1,1,3,10,103,1,102,3185.4572806374003
P5,15,0,0,4,4,0,8,4,4,4,4,1,0,2,0,1,1,1,1,3,4,2,2,8,6,1,0,6,6,7,0,0,99,0,99,3186.4040102973995
P6,1,12,0,5,0,1,0,1,1,0,0,8,3,0,1,1,3,6,3,3,0,0,8,4,7,7,2,2,0,3,2,6,90,0,90,3185.9098830232006
P7,12,0,3,0,12,0,0,4,9,13,0,6,0,4,8,4,5,5,1,6,4,0,7,0,0,5,8,0,0,4,5,1,126,4,122,3184.7557387372003
P8,0,0,0,0,14,5,2,0,0,5,1,4,2,3,2,7,2,2,7,3,2,3,2,2,0,9,7,6,0,2,6,0,98,0,98,3185.161130430001
P9,0,0,0,7,0,3,1,4,2,0,0,1,20,4,0,0,7,6,2,9,1,2,1,8,0,6,2,2,4,7,0,0,99,0,99,3185.2814898491997
P10,4,0,4,4,0,0,8,0,4,0,1,4,0,1,7,0,5,1,10,5,5,8,1,0,12,1,1,2,1,9,0,1,99,1,98,3184.8186693246003
P11,0,1,3,1,3,5,0,3,4,4,0,0,2,3,10,8,6,0,3,12,3,0,1,9,4,4,4,0,4,1,2,3,103,0,103,3185.6565389654
P12,0,2,1,4,0,4,0,0,1,1,6,2,3,2,0,3,0,9,1,3,6,1,8,2,5,5,2,5,5,0,4,1,86,3,83,3185.7184581786
P13,1,9,4,0,1,0,0,1,4,1,7,1,0,1,1,0,2,1,0,0,0,1,7,1,0,4,6,0,8,0,4,6,71,1,70,3186.0103693036003
P14,4,0,9,6,0,2,8,1,1,12,1,0,9,1,3,1,5,17,0,0,0,0,6,6,0,8,0,1,6,4,3,1,115,3,112,3186.3783717228
P15,3,1,8,4,12,0,6,12,1,0,5,9,2,0,1,4,2,1,2,1,0,9,4,12,0,0,5,1,1,3,2,4,115,4,111,3185.2963013662
P16,0,0,1,8,1,0,0,4,0,3,2,2,9,0,0,0,1,4,6,0,5,16,1,1,1,1,0,0,0,4,4,8,82,1,81,3186.5084524158
P17,3,0,3,3,4,16,2,0,2,2,5,0,1,4,3,0,0,3,6,12,0,1,6,2,2,6,0,1,6,5,1,3,102,3,99,3185.2092723858
P18,3,0,0,10,1,1,0,0,2,0,2,14,5,1,2,0,5,4,16,3,2,2,0,2,0,4,8,1,4,0,8,0,100,16,84,3186.102055077
P19,1,1,4,3,0,2,5,0,4,13,5,1,1,5,1,5,1,0,1,7,0,3,0,1,3,1,5,5,3,4,2,5,92,7,85,3185.2717747712004
P20,0,0,1,0,12,5,4,4,4,3,6,0,0,4,2,0,0,2,1,3,4,0,4,1,6,0,3,2,0,11,4,2,88,4,84,3185.6386666288
P21,8,5,2,3,0,4,0,8,12,3,6,3,4,15,1,1,7,1,1,3,0,9,3,2,9,0,0,2,1,0,9,1,123,9,114,3186.2989993098004
P22,4,2,6,0,2,1,0,0,1,2,4,1,0,5,0,0,0,0,0,0,0,2,4,0,0,0,5,0,17,4,0,1,61,4,57,3186.2745528259998
P23,2,1,14,0,1,7,1,1,1,4,0,6,2,0,5,2,0,0,4,4,1,0,1,3,9,12,5,1,2,1,2,5,97,3,94,3184.8415403394
P24,0,0,2,1,1,0,4,6,0,1,11,2,5,0,6,37,3,0,0,0,2,2,0,2,1,3,1,1,5,5,1,5,107,1,106,3186.343144417
P25,4,3,1,2,2,5,1,2,4,1,8,2,6,6,8,2,6,5,1,1,5,3,0,1,1,2,4,2,1,3,5,6,103,2,101,3185.9466290498003
P26,2,2,3,2,0,0,6,4,0,2,0,2,3,1,0,1,5,1,7,4,0,2,2,0,0,1,5,4,2,0,14,1,76,5,71,3185.0512790706007
P27,1,0,0,6,0,17,19,0,1,0,8,12,0,6,8,2,1,0,1,0,9,0,11,2,2,0,1,1,10,0,4,0,122,1,121,3185.3098487924003
P28,2,8,0,0,3,1,0,0,8,2,1,0,8,1,2,6,9,9,2,0,1,1,1,3,1,1,9,20,1,0,0,0,100,1,99,3185.2032322964
P29,0,10,0,6,4,0,2,0,1,4,8,4,6,16,5,0,12,0,2,1,0,0,0,0,3,2,4,5,4,1,1,8,109,1,108,3185.7779588734
P30,7,5,13,3,2,7,1,10,2,2,0,4,0,3,5,1,0,4,5,4,4,15,1,2,5,1,2,5,1,1,0,6,121,0,121,3185.3395776798006
P31,0,0,3,1,3,5,4,1,5,1,0,2,1,3,0,2,8,4,4,2,2,11,1,0,16,1,0,0,5,3,2,2,92,2,90,3185.8167500524005
