Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,num_total,num_local,num_remote,L
P0,100,0,0,4,5,5,0,0,0,0,0,1,5,6,5,13,144,100,44,2962.2657966548
P1,0,100,0,7,3,1,0,7,0,4,3,3,15,6,2,7,158,100,58,3183.3851242028004
P2,0,0,100,3,3,11,0,2,0,0,4,3,0,7,6,15,154,100,54,3328.7058701448004
P3,0,0,0,68,3,6,0,3,0,0,5,1,14,6,4,7,117,68,49,3090.6373586708
P4,0,0,0,3,84,5,0,3,0,4,4,1,3,10,7,5,129,84,45,3145.3194293950005
P5,0,0,0,1,0,68,0,0,0,0,0,0,0,0,25,4,98,68,30,3422.1694045044
P6,0,0,0,7,2,3,100,1,0,0,0,3,5,2,6,3,132,100,32,3112.3615894354
P7,0,0,0,4,0,0,0,84,0,0,0,0,3,6,7,4,108,84,24,3044.5718851062
P8,0,0,0,2,0,0,0,0,100,0,0,0,0,0,2,1,105,100,5,3177.9415545364004
P9,0,0,0,1,0,1,0,0,0,92,0,1,0,3,1,1,100,92,8,3107.9058442166
P10,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,84,84,0,3947.5713386592006
P11,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,87,87,0,4191.2518987818
P12,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,55,55,0,3965.2303123509996
P13,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,54,54,0,3883.7223873108
P14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,35,0,3597.9845857620007
P15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0,4139.210987088
