Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P0,60,1,1,1,0,0,0,1,0,0,0,0,1,2,3,2,0,2,3,0,1,1,1,1,2,1,1,1,0,0,0,1,2,2,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,4,1,1,0,0,0,4,1,4,0,3,2,119,60,59,26068.483099458394
P1,1,66,1,2,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,1,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,1,0,0,2,1,0,1,0,0,0,4,2,5,2,2,109,66,43,26068.552422535
P2,0,0,61,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,0,2,2,2,0,1,2,6,1,2,97,61,36,26597.6345534268
P3,1,0,0,64,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,1,1,0,0,5,0,1,0,0,0,0,0,0,2,0,0,1,2,1,0,5,0,0,0,0,1,9,110,64,46,26524.5715703986
P4,0,0,0,0,84,2,0,1,2,5,0,1,0,1,0,0,0,0,0,2,1,1,2,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,3,0,0,1,1,0,1,1,1,2,0,2,0,0,6,4,135,84,51,26286.0830492986
P5,3,0,0,1,0,68,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,2,2,1,1,0,3,4,1,3,112,68,44,26493.3003120514
P6,0,0,2,1,0,0,84,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,1,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,2,1,0,1,1,0,0,3,0,1,1,7,5,0,2,0,0,0,127,84,43,26409.043343071
P7,0,1,0,0,0,0,0,81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,4,2,0,2,2,4,0,5,0,121,81,40,26372.356131096603
P8,1,3,4,0,0,1,0,0,63,0,0,2,0,2,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,5,5,0,2,3,0,1,0,105,63,42,26175.609040738804
P9,0,0,0,0,0,0,1,0,0,68,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,0,0,2,2,0,0,1,3,1,2,0,2,1,0,0,0,2,2,1,4,1,1,0,4,111,68,43,26311.047613142597
