Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,192,3,1,2,6,3,6,1,0,1,2,3,1,5,3,1,1,1,3,7,3,3,3,1,0,4,0,0,2,2,2,1,263,192,71,1239.532821833865
P1,0,176,0,1,3,3,0,1,0,1,1,6,9,0,0,5,0,0,2,4,0,1,3,0,0,3,0,0,0,2,1,0,222,176,46,1248.4911570081392
P2,0,2,176,6,3,4,3,3,0,0,1,7,3,1,0,1,0,1,3,6,2,0,0,1,0,3,0,0,1,0,0,1,228,176,52,1256.4775172373747
P3,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165,164,1,3276.8522493556443
P4,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,99,2,4746.381972387912
P5,0,0,0,0,4,144,0,0,0,1,0,4,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171,144,27,1314.644952909548
P6,0,3,6,3,8,1,127,2,4,2,3,3,4,3,5,1,2,5,4,3,2,3,2,3,0,6,3,1,0,1,3,4,217,127,90,1250.4040814817351
P7,2,1,2,1,4,5,3,176,1,0,0,0,0,4,3,7,2,8,2,17,1,5,0,1,0,1,1,0,0,5,1,2,255,176,79,1236.744657892783
P8,0,5,0,1,1,9,7,4,176,7,1,6,1,2,0,3,2,3,1,13,0,1,3,3,0,7,1,0,1,1,1,6,266,176,90,1238.0949874239614
P9,2,0,2,2,7,3,0,1,2,160,4,7,1,3,2,3,0,3,2,2,0,2,0,1,0,0,10,2,0,5,1,1,228,160,68,1188.0454224328457
P10,1,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,180,1,5383.98890160688
P11,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96,0,5095.694101039384
P12,0,0,0,0,0,1,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,82,1,4419.466898761462
P13,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0,4441.712087850769
P14,0,1,1,0,0,0,1,0,0,0,0,0,5,16,176,0,1,1,1,9,0,0,0,0,0,1,0,0,1,1,0,0,215,176,39,1248.9691331991346
P15,2,7,1,1,4,7,15,5,2,9,3,3,7,3,5,144,7,3,7,3,3,5,2,7,4,15,3,0,2,7,7,7,300,144,156,1236.0643030274755
P16,0,0,0,0,18,3,3,1,0,3,0,3,0,0,0,5,176,0,1,2,3,2,5,3,0,1,0,0,0,1,0,1,231,176,55,1241.3197319679516
P17,4,0,2,2,2,3,0,1,0,3,2,7,6,2,0,1,0,168,5,4,1,0,0,2,4,0,1,0,2,1,1,1,225,168,57,1245.371880901851
P18,0,1,0,0,4,1,1,1,4,0,2,11,0,7,1,0,0,0,144,3,1,0,0,0,0,1,0,3,2,1,2,1,191,144,47,1317.13792024838
P19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,1,0,0,0,0,0,0,0,0,0,116,114,2,5475.555622658475
P20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,174,174,0,3491.815199487721
P21,0,0,0,0,0,0,3,0,0,0,0,0,32,0,0,0,1,0,0,0,0,176,1,0,0,1,0,0,0,0,0,1,215,176,39,1779.269426131
P22,1,3,3,7,6,7,7,1,11,3,2,7,0,3,3,15,7,5,7,1,3,3,176,1,6,11,3,3,6,7,2,7,327,176,151,1245.2345569461054
P23,0,1,1,1,12,6,7,1,0,1,0,2,0,0,0,1,0,3,1,10,0,1,0,176,1,2,0,0,0,1,1,1,230,176,54,1243.3366614528557
P24,1,0,0,1,2,3,2,1,2,3,2,8,5,5,5,1,5,1,3,1,3,0,1,0,192,2,3,0,3,7,3,1,266,192,74,1234.8445667411058
P25,0,1,6,7,0,1,3,5,2,11,0,11,3,2,0,7,1,2,1,3,2,5,3,0,0,144,4,3,1,0,7,5,240,144,96,1236.5113875384134
P26,0,0,2,2,4,0,0,1,0,0,5,1,9,2,1,4,0,3,0,3,2,0,2,0,0,0,176,1,2,1,0,16,237,176,61,1260.6309535781536
P27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,192,192,0,2099.9023400824617
P28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,184,0,0,0,185,184,1,2046.4581092935052
P29,2,1,1,7,7,3,1,0,1,1,0,6,2,2,0,3,0,0,4,2,5,0,4,1,1,3,2,2,1,160,0,0,222,160,62,1247.686925908995
P30,1,3,3,0,14,1,18,3,3,1,0,1,6,0,4,5,2,1,15,1,3,1,1,7,0,3,1,1,0,5,176,8,288,176,112,1246.883128261509
P31,0,0,0,0,0,0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,144,178,144,34,1756.0417849725964
