Iter,R0,R1,R2,R3,R4,R5,R6,R7
0,3.2253577709,7.9323785305,13.8806757927,14.0142197609,7.9675905704,3.279766798,1.691950798,1.6934542656
1,1.0742602348,2.0692403316,3.2563827038,3.2737305164,2.0565106869,1.0643758774,0.6798799038,0.6656205654
2,3.1476356983,7.8813807964,13.8619821072,13.8118829727,7.8836026192,3.1772689819,1.670422554,1.6486189365
3,1.1813085079,2.065113306,3.2387173176,3.2380921841,2.0356225967,1.0560457706,0.8086435795,0.6580774784
4,3.177564621,7.8481647968,13.9556224346,13.9148256779,7.9199140072,3.2741703987,1.6496493816,1.6965675354
5,1.0595316887,2.0432806015,3.2511577606,3.2395362854,2.0550713539,1.0654454231,0.6679234505,0.6636772156
6,3.1535089016,7.9257194996,13.8650712967,13.8423292637,7.9044315815,3.1611616611,1.6373672485,1.6650314331
7,1.0592639446,2.0514628887,3.2445952892,3.2336697578,2.0526218414,1.0579409599,0.6725783348,0.6671667099
8,3.1462264061,7.8793370724,13.8709859848,13.837157011,7.9283607006,3.1494517326,1.6480023861,1.6905183792
9,1.0626990795,2.038974762,3.2448904514,3.2352523804,2.0490815639,1.0643215179,0.6761710644,0.6630096436
10,3.1990141869,7.8763532639,13.887055397,13.9035563469,7.9504256248,3.1956701279,1.6942396164,1.6614749432
11,1.0620417595,2.045781374,3.2281241417,3.2332496643,2.049259901,1.1526386738,0.6695730686,0.6582610607
12,3.239364624,7.8764648438,13.8624897003,13.8761293888,8.006267786,3.2492184639,1.7017650604,1.6937119961
13,1.0756139755,2.0345451832,3.2288002968,3.2386701107,2.0637469292,1.0729494095,0.6734857559,0.6681864262
14,3.204761982,7.8299667835,13.9167101383,13.8611814976,7.960609436,3.2336544991,1.699744463,1.6970205307
15,1.0562677383,2.0387604237,3.2260608673,3.2019088268,2.0418057442,1.1359679699,0.6714868546,0.6625638008
16,3.1911828518,7.8766770363,13.8821632862,13.8175206184,7.9199483395,3.207681179,1.6772019863,1.6574249268
17,1.0705788136,2.0737133026,3.2462258339,3.2224903107,2.0480983257,1.1555199623,0.6687927246,0.6651909351
18,3.1946299076,7.8954024315,13.9624152184,13.9183056355,7.9623720646,3.226265192,1.6884222031,1.6660687923
19,1.0652816296,2.0494346619,3.2438499928,3.1963493824,2.1140291691,1.0619843006,0.6612603664,0.6615929604
20,3.1764290333,7.8574976921,13.8701374531,13.8332371712,7.9267177582,3.1617672443,1.6583249569,1.6506586075
21,1.0599975586,2.108928442,3.2358415127,3.2380933762,2.0690472126,1.0596735477,0.6800029278,0.6590652466
22,3.1595695019,7.8694064617,13.934886694,13.9009819031,7.9573976994,3.2191102505,1.6746070385,1.6741402149
23,1.0622386932,2.0344862938,3.2502186298,3.1967055798,2.0466766357,1.0555677414,0.6642422676,0.6822137833
24,3.1792247295,7.8479957581,13.876789093,13.9009230137,7.949177742,3.2375149727,1.6868236065,1.6406207085
25,1.0661141872,2.0441632271,3.2446262836,3.2183072567,2.0764153004,1.0506033897,0.6668105125,0.6657588482
26,3.1430854797,7.8478093147,13.8193500042,13.8527953625,7.9183762074,3.1804101467,1.6588439941,1.6613199711
27,1.0597896576,2.0441749096,3.214122057,3.1993010044,2.0577683449,1.0636148453,0.6841971874,0.6776034832
28,3.1893200874,7.8454298973,13.8752930164,13.8777804375,7.9475667477,3.2264583111,1.6675875187,1.6552128792
29,1.071893692,2.0393075943,3.2857804298,3.2256848812,2.0734255314,1.0625960827,0.6729063988,0.6741104126
30,3.1674814224,7.8632836342,13.8954482079,13.8909680843,7.9452302456,3.1935698986,1.6584889889,1.6445381641
31,1.0603530407,2.0481412411,3.2361624241,3.2443807125,2.0638408661,1.0586004257,0.6670205593,0.6563391685
32,3.1744697094,7.8245120049,13.8502178192,13.8959026337,7.8737909794,3.2021987438,1.6620578766,1.6431229115
