Iter,R0,R1,R2,R3,R4,R5,R6,R7
0,208,208,208,208,208,208,208,208
1,208,208,208,208,208,208,208,208
2,208,208,208,208,208,208,208,208
3,208,208,208,208,208,208,208,208
4,208,208,208,208,208,208,208,208
5,208,208,208,208,208,208,208,208
6,208,208,208,208,208,208,208,208
7,208,208,208,208,208,208,208,208
8,208,208,208,208,208,208,208,208
9,208,208,208,208,208,208,208,208
10,208,208,208,208,208,208,208,208
11,208,208,208,208,208,208,208,208
12,208,208,208,208,208,208,208,208
13,208,208,208,208,208,208,208,208
14,208,208,208,208,208,208,208,208
15,208,208,208,208,208,208,208,208
16,208,208,208,208,208,208,208,208
17,208,208,208,208,208,208,208,208
18,208,208,208,208,208,208,208,208
19,208,208,208,208,208,208,208,208
20,208,208,208,208,208,208,208,208
21,208,208,208,208,208,208,208,208
22,208,208,208,208,208,208,208,208
23,208,208,208,208,208,208,208,208
24,208,208,208,208,208,208,208,208
25,208,208,208,208,208,208,208,208
26,208,208,208,208,208,208,208,208
27,208,208,208,208,208,208,208,208
28,208,208,208,208,208,208,208,208
29,208,208,208,208,208,208,208,208
30,208,208,208,208,208,208,208,208
31,208,208,208,208,208,208,208,208
32,208,208,208,208,208,208,208,208
33,208,208,208,208,208,208,208,208
34,208,208,208,208,208,208,208,208
35,208,208,208,208,208,208,208,208
36,208,208,208,208,208,208,208,208
37,208,208,208,208,208,208,208,208
38,208,208,208,208,208,208,208,208
39,208,208,208,208,208,208,208,208
40,208,208,208,208,208,208,208,208
41,208,208,208,208,208,208,208,208
42,208,208,208,208,208,208,208,208
43,208,208,208,208,208,208,208,208
44,208,208,208,208,208,208,208,208
45,208,208,208,208,208,208,208,208
46,208,208,208,208,208,208,208,208
47,208,208,208,208,208,208,208,208
48,208,208,208,208,208,208,208,208
49,208,208,208,208,208,208,208,208
50,208,208,208,208,208,208,208,208
51,208,208,208,208,208,208,208,208
52,208,208,208,208,208,208,208,208
53,208,208,208,208,208,208,208,208
54,208,208,208,208,208,208,208,208
55,208,208,208,208,208,208,208,208
56,208,208,208,208,208,208,208,208
57,208,208,208,208,208,208,208,208
58,208,208,208,208,208,208,208,208
59,208,208,208,208,208,208,208,208
60,208,208,208,208,208,208,208,208
61,208,208,208,208,208,208,208,208
62,208,208,208,208,208,208,208,208
63,208,208,208,208,208,208,208,208
64,208,208,208,208,208,208,208,208
65,208,208,208,208,208,208,208,208
66,208,208,208,208,208,208,208,208
67,208,208,208,208,208,208,208,208
68,208,208,208,208,208,208,208,208
69,208,208,208,208,208,208,208,208
70,208,208,208,208,208,208,208,208
71,208,208,208,208,208,208,208,208
72,208,208,208,208,208,208,208,208
73,208,208,208,208,208,208,208,208
74,208,208,208,208,208,208,208,208
75,208,208,208,208,208,208,208,208
76,208,208,208,208,208,208,208,208
77,208,208,208,208,208,208,208,208
78,208,208,208,208,208,208,208,208
79,208,208,208,208,208,208,208,208
80,208,208,208,208,208,208,208,208
81,208,208,208,208,208,208,208,208
82,208,208,208,208,208,208,208,208
83,208,208,208,208,208,208,208,208
84,208,208,208,208,208,208,208,208
85,208,208,208,208,208,208,208,208
86,208,208,208,208,208,208,208,208
87,208,208,208,208,208,208,208,208
88,208,208,208,208,208,208,208,208
89,208,208,208,208,208,208,208,208
90,208,208,208,208,208,208,208,208
91,208,208,208,208,208,208,208,208
92,208,208,208,208,208,208,208,208
93,208,208,208,208,208,208,208,208
94,208,208,208,208,208,208,208,208
95,208,208,208,208,208,208,208,208
96,208,208,208,208,208,208,208,208
97,208,208,208,208,208,208,208,208
98,208,208,208,208,208,208,208,208
99,208,208,208,208,208,208,208,208
