Iter,R0,R1,R2,R3,R4,R5,R6,R7,,,,,,
0,12.206263,379.496234,232.360828,257.58328,137.107067,82.225986,0,0,,82.225986,,,,12.206263
1,28.932919,426.215213,342.532555,408.491971,455.868824,0,0,9.84546,,,,9.84546,,28.932919
2,129.095438,462.703372,245.402471,264.923132,376.371917,4.985895,0,0,,4.985895,,,,129.095438
3,7.334828,397.800601,371.749901,421.79747,559.229622,0,18.322899,0,,,18.322899,,,7.334828
4,140.499518,411.467678,282.27236,299.133859,365.45631,60.877167,0,3.459919,,60.877167,,3.459919,,140.499518
5,32.336385,386.329856,375.965904,394.230251,478.692536,0,0,10.140894,,,,10.140894,,32.336385
6,107.025335,297.431783,276.669129,287.308084,473.700277,16.104458,2.920471,0,,16.104458,2.920471,,,107.025335
7,24.777023,458.484892,383.451382,413.864902,592.77165,0,0,9.40292,,,,9.40292,,24.777023
8,116.996394,483.373751,283.868662,296.794442,253.852157,93.124637,3.26789,2.871216,,93.124637,3.26789,2.871216,,116.996394
9,30.59816,350.73551,322.707791,347.620526,562.432008,10.056981,8.613772,0,,10.056981,8.613772,,,30.59816
10,70.096754,445.950569,286.576649,287.646276,372.705022,110.165446,3.852467,0,,110.165446,3.852467,,,70.096754
11,6.566446,319.261613,386.415831,423.035534,530.190892,0,0,0,,,,,,6.566446
12,89.300678,340.326129,293.896951,298.92983,281.903888,74.91459,0,11.256512,,74.91459,,11.256512,,89.300678
13,0,398.060521,331.460154,384.76445,552.563722,20.232722,0,0,,20.232722,,,,
14,120.731012,500.204389,229.887435,254.835112,414.330942,38.50953,2.862051,0,,38.50953,2.862051,,,120.731012
15,0,374.247499,404.259038,393.030182,413.797053,0,10.228488,0,,,10.228488,,,
16,58.136261,477.468994,295.687992,310.224572,499.986781,82.43234,0,0,,82.43234,,,,58.136261
17,8.293039,466.922227,369.689083,392.958121,545.637699,12.032543,9.89015,0,,12.032543,9.89015,,,8.293039
18,24.357987,482.182004,311.935966,330.898858,252.516797,115.48311,0,85.856907,,115.48311,,85.856907,,24.357987
19,0,395.36067,378.791116,400.818398,548.721798,11.95534,10.23865,0,,11.95534,10.23865,,,
20,60.624471,423.299076,252.817898,266.358214,317.134515,41.934001,2.898484,0,,41.934001,2.898484,,,60.624471
21,0,375.104742,381.240751,358.268636,573.719849,59.590738,8.765324,11.651621,,59.590738,8.765324,11.651621,,
22,10.822884,552.711172,246.064708,251.133208,460.47374,55.252623,0,3.138632,,55.252623,,3.138632,,10.822884
23,6.837707,444.857822,420.988056,474.627703,646.990998,10.504405,9.989744,0,,10.504405,9.989744,,,6.837707
24,24.959162,381.487724,318.692307,343.40994,304.42038,96.126667,3.725287,3.253472,,96.126667,3.725287,3.253472,,24.959162
25,6.630399,360.142388,361.162019,414.891872,474.87107,11.012545,0,0,,11.012545,,,,6.630399
26,102.836856,410.847893,264.10749,294.754009,501.073699,47.062235,0,14.624759,,47.062235,,14.624759,,102.836856
27,0,410.093928,420.70373,433.794507,537.95367,18.427793,0,10.710684,,18.427793,,10.710684,,
28,118.006018,449.02175,287.96547,274.057262,477.162756,87.856902,2.796943,0,,87.856902,2.796943,,,118.006018
29,26.741429,350.035802,414.143392,380.272793,651.282699,0,0,0,,,,,,26.741429
30,30.503097,525.600201,279.516394,298.900073,330.959094,89.387906,2.993415,3.51416,,89.387906,2.993415,3.51416,,30.503097
31,29.818263,414.08024,423.19011,441.771197,580.409095,28.534751,0,0,,28.534751,,,,29.818263
32,78.507039,434.403469,273.585747,306.59279,350.762431,78.172091,3.800886,2.82888,,78.172091,3.800886,2.82888,,78.507039
33,0,359.931863,353.813213,385.231626,513.853411,19.364642,0,0,,19.364642,,,,
34,146.534222,401.117621,247.507176,296.765593,486.785832,105.601313,0,0,,105.601313,,,,146.534222
35,8.156681,389.082004,349.171312,377.274998,579.648453,11.301563,9.056292,9.719386,,11.301563,9.056292,9.719386,,8.156681
36,33.860063,404.946117,301.66593,308.287911,376.463124,110.427408,3.213083,0,,110.427408,3.213083,,,33.860063
